id_campaign_mapping,campaign,eligible,start_date,end_date
1,1,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
2,2,GO-JEK FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
3,2,GO-JEK,1900-01-01 00:00:00,9999-12-31 23:59:59
4,2,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
5,2,EXPRESS,1900-01-01 00:00:00,9999-12-31 23:59:59
6,2,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
7,2,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
8,3,GO-JEK FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
9,3,GO-JEK,1900-01-01 00:00:00,9999-12-31 23:59:59
10,3,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
11,3,EXPRESS,1900-01-01 00:00:00,9999-12-31 23:59:59
12,3,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
13,3,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
14,4,GO-JEK FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
15,4,GO-JEK,1900-01-01 00:00:00,9999-12-31 23:59:59
16,4,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
17,4,EXPRESS,1900-01-01 00:00:00,9999-12-31 23:59:59
18,4,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
19,4,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
20,5,GO-JEK FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
21,5,GO-JEK,1900-01-01 00:00:00,9999-12-31 23:59:59
22,5,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
23,5,EXPRESS,1900-01-01 00:00:00,9999-12-31 23:59:59
24,5,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
25,5,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
