SKU,BM per Item,Date
AS100ELAA64E1TANID-13721167,55255,2017-06-01
AS100ELAA64E1UANID-13721168,55255,2017-06-01
AS100ELAA64E1WANID-13721173,55255,2017-06-01
AS100ELAA64E1XANID-13721174,55255,2017-06-01
AS100ELAAADLPCANID-23691213,22809,2017-06-01
AS100ELAAADLPDANID-23691204,23027,2017-06-01
AS100ELAAADLPIANID-23691211,17105,2017-06-01
AS100ELAAADLPLANID-23691207,25218,2017-06-01
BE142OTAUPU9ANID-829918,1695,2017-06-01
BE142OTAUPUAANID-829919,1695,2017-06-01
BE142OTAUPUBANID-829920,1819,2017-06-01
BE142OTCDJY8ANID-2745453,3168,2017-06-01
BE142OTCDJY9ANID-2745454,6150,2017-06-01
BE142OTCDJYAANID-2745455,3168,2017-06-01
BE142OTCDJYBANID-2745456,6150,2017-06-01
BE142OTCDJYCANID-2745457,3425,2017-06-01
BE142OTCDJYDANID-2745458,6670,2017-06-01
BE814TBAACGX2XANID-27861111,30000,2017-06-01
BE814TBAACGX2YANID-27861108,30000,2017-06-01
BE814TBAACGX2ZANID-27861109,30000,2017-06-01
BE814TBAACGX30ANID-27861110,30000,2017-06-01
BE814TBAK0IPANID-516586,10000,2017-06-01
BE814TBAK0IRANID-516587,10000,2017-06-01
BE814TBAK0ISANID-516588,10000,2017-06-01
BE814TBAK0ITANID-516590,10000,2017-06-01
DO886HLACOPMANID-146201,11000,2017-06-01
DO886HLACOPTANID-146208,5500,2017-06-01
DO886HLACZ7MANID-162425,11000,2017-06-01
DO886HLACZ7NANID-162426,5500,2017-06-01
DO886OTAA93VWZANID-21271601,10100,2017-06-01
DO886OTAABI87WANID-25831844,5000,2017-06-01
DO886OTAABI87XANID-25831840,5000,2017-06-01
DO886OTAABI880ANID-25831842,5000,2017-06-01
EA022FAAA2ZV3SANID-5616916,5090,2017-06-01
EA022FAAA2ZV3SANID-5616918,5090,2017-06-01
EA022FAAA2ZV3TANID-5616928,5090,2017-06-01
EA022FAAA2ZV3TANID-5616930,5090,2017-06-01
EA022FAAA4JHGDANID-8949275,27090,2017-06-01
EA022FAAA4JHGEANID-8949276,27090,2017-06-01
EA022FAAA4JHGEANID-8949277,27090,2017-06-01
EM075HBAA5QMVIANID-11793751,4864,2017-06-01
EM075HBAA5QMVJANID-11793752,4864,2017-06-01
EM075HBAA5QMVKANID-11793753,4864,2017-06-01
EM075HBAA5QMVLANID-11793754,4864,2017-06-01
EM075HBAA5QMVMANID-11793755,4864,2017-06-01
EM075HBAA5QMVNANID-11793756,4864,2017-06-01
EM075HBAA5QMVOANID-11793757,2273,2017-06-01
EM075HBAA5QMVPANID-11793758,2273,2017-06-01
EM075HBAA5QMVQANID-11793759,2273,2017-06-01
EM075HBAA5QMVRANID-11793760,2273,2017-06-01
EM075HBAA5QMVSANID-11793761,4309,2017-06-01
EM075HBAA5QMVTANID-11793762,4309,2017-06-01
EM075HBAA5QMVWANID-11793765,4309,2017-06-01
EM075HBAA5QWULANID-11808774,2182,2017-06-01
EM075HBAA5U5UCANID-12037340,4000,2017-06-01
EM075HBAA5U5UDANID-12037341,4000,2017-06-01
EM075HBAA5U5UEANID-12037342,4000,2017-06-01
EM075HBAA5U5UFANID-12037343,4000,2017-06-01
EM075HBAA5U5UGANID-12037344,2400,2017-06-01
EM075HBAA5U5UHANID-12037345,3182,2017-06-01
EM075HBAA5U5UIANID-12037346,3182,2017-06-01
EM075HBAA5U5UJANID-12037347,3182,2017-06-01
EM075HBAA5U5UKANID-12037348,3182,2017-06-01
EM075HBAA5U5UMANID-12037350,3873,2017-06-01
EM075HBAA5U5UNANID-12037351,3873,2017-06-01
EM075HBAA5U5UOANID-12037352,3873,2017-06-01
EM075HBAA5U5UPANID-12037353,3873,2017-06-01
EM075HBAA5U5UQANID-12037354,3873,2017-06-01
EM075HBAA5U5UVANID-12037359,3000,2017-06-01
FI337TBCEVN5ANID-2818675,15270,2017-06-01
FI337TBCEVN6ANID-2818676,14670,2017-06-01
FI337TBCEVN7ANID-2818677,15930,2017-06-01
FI337TBCEVN8ANID-2818678,16650,2017-06-01
FI492TBAA5R1F0ANID-11816139,7280,2017-06-01
FI492TBAA5R1F1ANID-11816140,8180,2017-06-01
FI492TBAA5R1F2ANID-11816141,10360,2017-06-01
FI492TBAA5R1F3ANID-11816142,10240,2017-06-01
FI492TBAA5R1F5ANID-11816144,4450,2017-06-01
FI492TBAA5R1F7ANID-11816146,5425,2017-06-01
FI492TBAA5R1F8ANID-11816147,28630,2017-06-01
FI492TBAA5R1F9ANID-11816148,27615,2017-06-01
FI492TBAA5R1FAANID-11816149,27230,2017-06-01
FI492TBAA5R1FCANID-11816151,53275,2017-06-01
FI492TBAA5R1FDANID-11816152,60800,2017-06-01
FI492TBAA5R1FEANID-11816153,65250,2017-06-01
FI492TBAA5R1FFANID-11816154,112525,2017-06-01
FI492TBAA5R1FGANID-11816155,110495,2017-06-01
FI492TBAA5R1FHANID-11816156,108920,2017-06-01
FI492TBAA5R1FKANID-11816159,95580,2017-06-01
FI492TBAA5R1FLANID-11816160,99870,2017-06-01
FI492TBAA5R1FMANID-11816161,167985,2017-06-01
FI492TBAA5R1FNANID-11816162,167985,2017-06-01
FI492TBAA5VX4WANID-12302576,54990,2017-06-01
FI492TBAA5VX4XANID-12302577,54990,2017-06-01
FR818OTAA3BKN4ANID-6327920,392,2017-06-01
FR818OTAA3BKN5ANID-6327921,266,2017-06-01
FR818OTAA3BKN9ANID-6327925,1419,2017-06-01
FR818OTAA3BKNAANID-6327926,1342,2017-06-01
FR818OTAA3BKNBANID-6327927,15717,2017-06-01
FR818OTAA3BKNDANID-6327929,14203,2017-06-01
FR818OTAA3BKNKANID-6327936,15717,2017-06-01
FR818OTAA3BKNLANID-6327937,14203,2017-06-01
FR818OTAA6ASBIANID-14248214,14203,2017-06-01
FR818OTAA7VWARANID-18995021,1336,2017-06-01
FR818OTAA7VWASANID-18995022,1336,2017-06-01
FR818OTAABD4UVANID-25540647,1342,2017-06-01
FR818TBAA66YERANID-13927921,6261,2017-06-01
FR818TBAA66YESANID-13927926,6261,2017-06-01
FR818TBAA66YETANID-13927927,6261,2017-06-01
FR818TBAA66YEUANID-13927928,6261,2017-06-01
FR818TBAA66YEVANID-13927929,8769,2017-06-01
FR818TBAA66YEWANID-13927930,8769,2017-06-01
FR818TBAA66YEXANID-13927931,8769,2017-06-01
FR818TBAA6JSC2ANID-15368613,6261,2017-06-01
FR818TBAA7ATKTANID-17821657,6261,2017-06-01
FR818TBAA7ATKUANID-17821658,8769,2017-06-01
FR818TBAA7L1E6ANID-18404398,12522,2017-06-01
FR818TBAA7L1E7ANID-18404401,12522,2017-06-01
FR818TBAA7L1E8ANID-18404399,12522,2017-06-01
FR818TBAA7L1E9ANID-18404400,12522,2017-06-01
FR818TBAA96NXVANID-21425481,12522,2017-06-01
FR818TBAA96NXWANID-21425480,12522,2017-06-01
FU348ELAA7RTURANID-18788827,454545,2017-06-01
FU348ELAA7RTUSANID-18788828,454545,2017-06-01
FU348ELAA7RTUTANID-18788826,454545,2017-06-01
HE178HBAA8ZHQDANID-21028208,39650,2017-06-01
