id_shipping_fee_rate_card_kg,origin,leadtime,destination_zone,rounding,weight_break,flat_rate,step_rate,is_live
8313568,"Cross Border",Standard,1001,1.00,6999.00,0.00,0.00,1
8313569,"Cross Border",Standard,1001,1.00,999999.00,0.00,0.00,1
8313570,"Cross Border",Standard,1002,1.00,6999.00,0.00,0.00,1
8313571,"Cross Border",Standard,1002,1.00,999999.00,0.00,0.00,1
8313572,"Cross Border",Standard,1003,1.00,6999.00,0.00,0.00,1
8313573,"Cross Border",Standard,1003,1.00,999999.00,0.00,0.00,1
8313574,"Cross Border",Standard,1004,1.00,6999.00,0.00,0.00,1
8313575,"Cross Border",Standard,1004,1.00,999999.00,0.00,0.00,1
8313576,"Cross Border",Standard,1005,1.00,6999.00,0.00,0.00,1
8313577,"Cross Border",Standard,1005,1.00,999999.00,0.00,0.00,1
8313578,"Cross Border",Standard,1006,1.00,6999.00,0.00,0.00,1
8313579,"Cross Border",Standard,1006,1.00,999999.00,0.00,0.00,1
8313580,"Cross Border",Standard,1007,1.00,6999.00,0.00,0.00,1
8313581,"Cross Border",Standard,1007,1.00,999999.00,0.00,0.00,1
8313582,"Cross Border",Standard,1008,1.00,6999.00,0.00,0.00,1
8313583,"Cross Border",Standard,1008,1.00,999999.00,0.00,0.00,1
8313584,"Cross Border",Standard,1009,1.00,6999.00,0.00,0.00,1
8313585,"Cross Border",Standard,1009,1.00,999999.00,0.00,0.00,1
8313586,"Cross Border",Standard,1010,1.00,6999.00,0.00,0.00,1
8313587,"Cross Border",Standard,1010,1.00,999999.00,0.00,0.00,1
8313588,"Cross Border",Standard,1012,1.00,6999.00,0.00,0.00,1
8313589,"Cross Border",Standard,1012,1.00,999999.00,0.00,0.00,1
8313590,"Cross Border",Standard,1013,1.00,6999.00,0.00,0.00,1
8313591,"Cross Border",Standard,1013,1.00,999999.00,0.00,0.00,1
8313592,"Cross Border",Standard,1014,1.00,6999.00,0.00,0.00,1
8313593,"Cross Border",Standard,1014,1.00,999999.00,0.00,0.00,1
8313594,"Cross Border",Standard,1015,1.00,6999.00,0.00,0.00,1
8313595,"Cross Border",Standard,1015,1.00,999999.00,0.00,0.00,1
8313596,"Cross Border",Standard,1016,1.00,6999.00,0.00,0.00,1
8313597,"Cross Border",Standard,1016,1.00,999999.00,0.00,0.00,1
8313598,"Cross Border",Standard,1017,1.00,6999.00,0.00,0.00,1
8313599,"Cross Border",Standard,1017,1.00,999999.00,0.00,0.00,1
8313600,"Cross Border",Standard,1019,1.00,6999.00,0.00,0.00,1
8313601,"Cross Border",Standard,1019,1.00,999999.00,0.00,0.00,1
8313602,"Cross Border",Standard,1020,1.00,6999.00,0.00,0.00,1
8313603,"Cross Border",Standard,1020,1.00,999999.00,0.00,0.00,1
8313604,"Cross Border",Standard,1021,1.00,6999.00,0.00,0.00,1
8313605,"Cross Border",Standard,1021,1.00,999999.00,0.00,0.00,1
8313606,"Cross Border",Standard,1022,1.00,6999.00,0.00,0.00,1
8313607,"Cross Border",Standard,1022,1.00,999999.00,0.00,0.00,1
8313608,"Cross Border",Standard,1023,1.00,6999.00,0.00,0.00,1
8313609,"Cross Border",Standard,1023,1.00,999999.00,0.00,0.00,1
8313610,"Cross Border",Standard,1024,1.00,6999.00,0.00,0.00,1
8313611,"Cross Border",Standard,1024,1.00,999999.00,0.00,0.00,1
8313612,"Cross Border",Standard,1025,1.00,6999.00,0.00,0.00,1
8313613,"Cross Border",Standard,1025,1.00,999999.00,0.00,0.00,1
8313614,"Cross Border",Standard,1026,1.00,6999.00,0.00,0.00,1
8313615,"Cross Border",Standard,1026,1.00,999999.00,0.00,0.00,1
8313616,"Cross Border",Standard,1027,1.00,6999.00,0.00,0.00,1
8313617,"Cross Border",Standard,1027,1.00,999999.00,0.00,0.00,1
8313618,"Cross Border",Standard,1028,1.00,6999.00,0.00,0.00,1
8313619,"Cross Border",Standard,1028,1.00,999999.00,0.00,0.00,1
8313620,"Cross Border",Standard,1029,1.00,6999.00,0.00,0.00,1
8313621,"Cross Border",Standard,1029,1.00,999999.00,0.00,0.00,1
8313622,"Cross Border",Standard,1030,1.00,6999.00,0.00,0.00,1
8313623,"Cross Border",Standard,1030,1.00,999999.00,0.00,0.00,1
8313624,"Cross Border",Standard,1031,1.00,6999.00,0.00,0.00,1
8313625,"Cross Border",Standard,1031,1.00,999999.00,0.00,0.00,1
8313626,"Cross Border",Standard,1032,1.00,6999.00,0.00,0.00,1
8313627,"Cross Border",Standard,1032,1.00,999999.00,0.00,0.00,1
8313628,"Cross Border",Standard,1033,1.00,6999.00,0.00,0.00,1
8313629,"Cross Border",Standard,1033,1.00,999999.00,0.00,0.00,1
8313630,"Cross Border",Standard,1034,1.00,6999.00,0.00,0.00,1
8313631,"Cross Border",Standard,1034,1.00,999999.00,0.00,0.00,1
8313632,"Cross Border",Standard,1035,1.00,6999.00,0.00,0.00,1
8313633,"Cross Border",Standard,1035,1.00,999999.00,0.00,0.00,1
8313634,"Cross Border",Standard,1037,1.00,6999.00,0.00,0.00,1
8313635,"Cross Border",Standard,1037,1.00,999999.00,0.00,0.00,1
8313636,"Cross Border",Standard,1038,1.00,6999.00,0.00,0.00,1
8313637,"Cross Border",Standard,1038,1.00,999999.00,0.00,0.00,1
8313638,"Cross Border",Standard,1039,1.00,6999.00,0.00,0.00,1
8313639,"Cross Border",Standard,1039,1.00,999999.00,0.00,0.00,1
8313640,"Cross Border",Standard,1040,1.00,6999.00,0.00,0.00,1
8313641,"Cross Border",Standard,1040,1.00,999999.00,0.00,0.00,1
8313642,"Cross Border",Standard,1041,1.00,6999.00,0.00,0.00,1
8313643,"Cross Border",Standard,1041,1.00,999999.00,0.00,0.00,1
8313644,"Cross Border",Standard,1042,1.00,6999.00,0.00,0.00,1
8313645,"Cross Border",Standard,1042,1.00,999999.00,0.00,0.00,1
8313646,"Cross Border",Standard,1043,1.00,6999.00,0.00,0.00,1
8313647,"Cross Border",Standard,1043,1.00,999999.00,0.00,0.00,1
8313648,"Cross Border",Standard,1044,1.00,6999.00,0.00,0.00,1
8313649,"Cross Border",Standard,1044,1.00,999999.00,0.00,0.00,1
8313650,"Cross Border",Standard,1045,1.00,6999.00,0.00,0.00,1
8313651,"Cross Border",Standard,1045,1.00,999999.00,0.00,0.00,1
8313652,"Cross Border",Standard,1046,1.00,6999.00,0.00,0.00,1
8313653,"Cross Border",Standard,1046,1.00,999999.00,0.00,0.00,1
8313654,"Cross Border",Standard,1047,1.00,6999.00,0.00,0.00,1
8313655,"Cross Border",Standard,1047,1.00,999999.00,0.00,0.00,1
8313656,"Cross Border",Standard,1048,1.00,6999.00,0.00,0.00,1
8313657,"Cross Border",Standard,1048,1.00,999999.00,0.00,0.00,1
8313658,"Cross Border",Standard,1049,1.00,6999.00,0.00,0.00,1
8313659,"Cross Border",Standard,1049,1.00,999999.00,0.00,0.00,1
8313660,"Cross Border",Standard,1050,1.00,6999.00,0.00,0.00,1
8313661,"Cross Border",Standard,1050,1.00,999999.00,0.00,0.00,1
8313662,"Cross Border",Standard,1051,1.00,6999.00,0.00,0.00,1
8313663,"Cross Border",Standard,1051,1.00,999999.00,0.00,0.00,1
8313664,"Cross Border",Standard,1052,1.00,6999.00,0.00,0.00,1
8313665,"Cross Border",Standard,1052,1.00,999999.00,0.00,0.00,1
8313666,"Cross Border",Standard,1053,1.00,6999.00,0.00,0.00,1
8313667,"Cross Border",Standard,1053,1.00,999999.00,0.00,0.00,1
8313668,"Cross Border",Standard,1054,1.00,6999.00,0.00,0.00,1
8313669,"Cross Border",Standard,1054,1.00,999999.00,0.00,0.00,1
8313670,"Cross Border",Standard,1055,1.00,6999.00,0.00,0.00,1
8313671,"Cross Border",Standard,1055,1.00,999999.00,0.00,0.00,1
8313672,"Cross Border",Standard,1057,1.00,6999.00,0.00,0.00,1
8313673,"Cross Border",Standard,1057,1.00,999999.00,0.00,0.00,1
8313674,"Cross Border",Standard,1058,1.00,6999.00,0.00,0.00,1
8313675,"Cross Border",Standard,1058,1.00,999999.00,0.00,0.00,1
8313676,"Cross Border",Standard,1059,1.00,6999.00,0.00,0.00,1
8313677,"Cross Border",Standard,1059,1.00,999999.00,0.00,0.00,1
8313678,"Cross Border",Standard,1060,1.00,6999.00,0.00,0.00,1
8313679,"Cross Border",Standard,1060,1.00,999999.00,0.00,0.00,1
8313680,"Cross Border",Standard,1061,1.00,6999.00,0.00,0.00,1
