id_campaign,campaign,pickup_provider_type,seller_flat_charge_rate,seller_charge_rate,insurance_rate,start_date,end_date
1,Insurance Waive,NULL,NULL,NULL,0,1900-01-01 00:00:00,2016-09-30 23:59:59
2,VIP Seller,NULL,NULL,1000,NULL,1900-01-01 00:00:00,2016-11-30 23:59:59
2,VIP Seller,NULL,NULL,2500,NULL,2016-12-01 00:00:00,2017-03-31 23:59:59
2,VIP Seller,NULL,NULL,3500,NULL,2017-04-01 00:00:00,2017-06-30 23:59:59
2,VIP Seller,NULL,NULL,4000,NULL,2017-07-01 00:00:00,2017-09-03 23:59:59
3,Rising Star Program,NULL,NULL,1000,0,1900-01-01 00:00:00,2016-11-30 23:59:59
3,Rising Star Program,NULL,NULL,2500,0,2016-12-01 00:00:00,2017-07-17 23:59:59
4,VIP Seller Exception,NULL,NULL,1000,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
5,Rising Star Program,NULL,NULL,3500,0,2016-12-01 00:00:00,9999-12-31 23:59:59
6,Lazada Prioritas,NULL,NULL,0,0,2017-08-14 00:00:00,2017-09-03 23:59:59
7,Lazada Prioritas - VIP,NULL,NULL,0,0,2017-08-14 00:00:00,2017-09-03 23:59:59
8,Lazada Prioritas - Juragan,LEX,NULL,3250,NULL,2017-09-04 00:00:00,9999-12-31 23:59:59
8,Lazada Prioritas - Juragan,NULL,NULL,3500,NULL,2017-09-04 00:00:00,9999-12-31 23:59:59
9,Lazada Prioritas - Jagoan,LEX,NULL,3250,NULL,2017-09-04 00:00:00,9999-12-31 23:59:59
9,Lazada Prioritas - Jagoan,NULL,NULL,3500,NULL,2017-09-04 00:00:00,9999-12-31 23:59:59
10,Lazada Prioritas - Jawara,NULL,NULL,0,0,2017-09-04 00:00:00,9999-12-31 23:59:59
11,Lazada Prioritas - Maestro,NULL,NULL,0,0,2017-09-04 00:00:00,9999-12-31 23:59:59
