id_catalog_category,regional_key,category_name,category_status,id_level0,level0,id_level1,level1,id_level2,level2,id_level3,level3,id_level4,level4,id_level5,level5,id_level6,level6,resulting_regional_key,resulting_status
1,NULL,"Root Category",active,1,"Root Category",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,active
2,NULL,"Sports & Automotives",deleted,1,"Root Category",2,"Sports & Automotives",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,deleted
3,110408020000,Boating,inactive,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",3,Boating,NULL,NULL,NULL,NULL,110408020000,inactive
4,NULL,"Perlengkapan Perahu",inactive,1,"Root Category",2991,Trash,4,"Perlengkapan Perahu",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,inactive
5,NULL,Sampan,deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",3,Boating,5,Sampan,NULL,NULL,110408020000,inactive
6,110408020400,"Inflatable Boats",inactive,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",3,Boating,6,"Inflatable Boats",NULL,NULL,110408020400,inactive
7,NULL,"Fitness Equiment",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
8,NULL,"Lakban Olahraga",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",8,"Lakban Olahraga",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
9,NULL,"Sweat & Wrist Band",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",9,"Sweat & Wrist Band",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
10,NULL,"Handuk Olahraga",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",10,"Handuk Olahraga",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
11,NULL,"Botol Minum",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",11,"Botol Minum",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
12,NULL,Kacamata,deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",12,Kacamata,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
13,NULL,"Monitor Pengukur Jantung",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",13,"Monitor Pengukur Jantung",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
14,NULL,"Jam Tangan Olahraga",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",14,"Jam Tangan Olahraga",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
15,NULL,Penguat,deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",15,Penguat,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
16,NULL,"Multi Station",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",15,Penguat,16,"Multi Station",NULL,NULL,NULL,NULL,110000000000,deleted
17,NULL,Bangku,deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",15,Penguat,17,Bangku,NULL,NULL,NULL,NULL,110000000000,deleted
18,NULL,Pemberat,deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",15,Penguat,18,Pemberat,NULL,NULL,NULL,NULL,110000000000,deleted
19,NULL,Kardio,deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",19,Kardio,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
20,NULL,"Platform Getar",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",19,Kardio,20,"Platform Getar",NULL,NULL,NULL,NULL,110000000000,deleted
21,NULL,"Mesin Step",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",19,Kardio,21,"Mesin Step",NULL,NULL,NULL,NULL,110000000000,deleted
22,NULL,"Mesin Dayung",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",19,Kardio,22,"Mesin Dayung",NULL,NULL,NULL,NULL,110000000000,deleted
23,NULL,"Sepeda Statis",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",19,Kardio,23,"Sepeda Statis",NULL,NULL,NULL,NULL,110000000000,deleted
24,NULL,"Sepeda Elliptical",deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",19,Kardio,24,"Sepeda Elliptical",NULL,NULL,NULL,NULL,110000000000,deleted
25,NULL,Treadmill,deleted,1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",19,Kardio,25,Treadmill,NULL,NULL,NULL,NULL,110000000000,deleted
26,NULL,"Sports Bags & Outdoor",inactive,1,"Root Category",2994,"Sports & Outdoors",3277,"Sport Equipment",26,"Sports Bags & Outdoor",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,inactive
27,NULL,"Tas Lain-lain",inactive,1,"Root Category",2994,"Sports & Outdoors",3277,"Sport Equipment",26,"Sports Bags & Outdoor",27,"Tas Lain-lain",NULL,NULL,NULL,NULL,110000000000,inactive
28,NULL,"Tas Pinggang",inactive,1,"Root Category",2994,"Sports & Outdoors",3277,"Sport Equipment",26,"Sports Bags & Outdoor",28,"Tas Pinggang",NULL,NULL,NULL,NULL,110000000000,inactive
29,NULL,"Tas Duffle",inactive,1,"Root Category",2994,"Sports & Outdoors",3277,"Sport Equipment",26,"Sports Bags & Outdoor",29,"Tas Duffle",NULL,NULL,NULL,NULL,110000000000,inactive
30,NULL,"Tas Serut",inactive,1,"Root Category",2994,"Sports & Outdoors",3277,"Sport Equipment",26,"Sports Bags & Outdoor",30,"Tas Serut",NULL,NULL,NULL,NULL,110000000000,inactive
31,NULL,"Tas Bahu",inactive,1,"Root Category",2994,"Sports & Outdoors",3277,"Sport Equipment",26,"Sports Bags & Outdoor",31,"Tas Bahu",NULL,NULL,NULL,NULL,110000000000,inactive
32,NULL,"Water Pack",inactive,1,"Root Category",2994,"Sports & Outdoors",3277,"Sport Equipment",26,"Sports Bags & Outdoor",32,"Water Pack",NULL,NULL,NULL,NULL,110000000000,inactive
33,NULL,"Tas Hiking & Tas Kulit Unta",inactive,1,"Root Category",2994,"Sports & Outdoors",3277,"Sport Equipment",26,"Sports Bags & Outdoor",33,"Tas Hiking & Tas Kulit Unta",NULL,NULL,NULL,NULL,110000000000,inactive
34,NULL,"Ransel Kecil",inactive,1,"Root Category",2994,"Sports & Outdoors",3277,"Sport Equipment",26,"Sports Bags & Outdoor",34,"Ransel Kecil",NULL,NULL,NULL,NULL,110000000000,inactive
35,110408000000,"Water Sports",inactive,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",NULL,NULL,NULL,NULL,NULL,NULL,110408000000,inactive
36,NULL,"Polo Air",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",36,"Polo Air",NULL,NULL,NULL,NULL,110408000000,inactive
37,110408030000,"Diving & Snorkeling",inactive,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",37,"Diving & Snorkeling",NULL,NULL,NULL,NULL,110408030000,inactive
38,NULL,Wetsuit,deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",38,Wetsuit,NULL,NULL,NULL,NULL,110408000000,inactive
39,NULL,"Paddle Board",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",39,"Paddle Board",NULL,NULL,NULL,NULL,110408000000,inactive
40,NULL,"Body Board",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",40,"Body Board",NULL,NULL,NULL,NULL,110408000000,inactive
41,NULL,"Papan Selancar",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",41,"Papan Selancar",NULL,NULL,NULL,NULL,110408000000,inactive
42,110401000000,"Camping & Hiking",active,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",NULL,NULL,NULL,NULL,NULL,NULL,110401000000,active
43,NULL,"Pelindung Pendaki",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",43,"Pelindung Pendaki",NULL,NULL,NULL,NULL,110401000000,deleted
44,110401030000,"Camping & Hiking Kits",inactive,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",44,"Camping & Hiking Kits",NULL,NULL,NULL,NULL,110401030000,inactive
45,NULL,"Perangkat Dapur",inactive,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",44,"Camping & Hiking Kits",45,"Perangkat Dapur",NULL,NULL,110401030000,inactive
46,NULL,"Kantung & Penyimpanan",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",44,"Camping & Hiking Kits",46,"Kantung & Penyimpanan",NULL,NULL,110401030000,inactive
47,NULL,"Knife and Tools",inactive,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",47,"Knife and Tools",NULL,NULL,NULL,NULL,110401000000,inactive
48,110401040000,"Camping & Hiking Lights & Accessories",inactive,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",48,"Camping & Hiking Lights & Accessories",NULL,NULL,NULL,NULL,110401040000,inactive
49,NULL,"Compas & GPS",inactive,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",49,"Compas & GPS",NULL,NULL,NULL,NULL,110401000000,inactive
50,NULL,"Matras Tidur",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",44,"Camping & Hiking Kits",50,"Matras Tidur",NULL,NULL,110401030000,inactive
51,110401070100,"Sleeping Bags",active,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",8111,"Sleeping Gear",51,"Sleeping Bags",NULL,NULL,110401070100,active
52,110401080000,Tents,active,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",52,Tents,NULL,NULL,NULL,NULL,110401080000,active
53,NULL,"Pakaian Mendaki",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",53,"Pakaian Mendaki",NULL,NULL,NULL,NULL,110401000000,deleted
54,NULL,"Sepatu & Boot",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",54,"Sepatu & Boot",NULL,NULL,NULL,NULL,110401000000,deleted
55,NULL,"Boot Pejalan",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",54,"Sepatu & Boot",55,"Boot Pejalan",NULL,NULL,110401000000,deleted
56,NULL,"Boot Bergunung",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",54,"Sepatu & Boot",56,"Boot Bergunung",NULL,NULL,110401000000,deleted
57,NULL,"Boot Pendaki",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",54,"Sepatu & Boot",57,"Boot Pendaki",NULL,NULL,110401000000,deleted
58,NULL,"Boot Trekking",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",54,"Sepatu & Boot",58,"Boot Trekking",NULL,NULL,110401000000,deleted
59,NULL,"Boot Kerja",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",54,"Sepatu & Boot",59,"Boot Kerja",NULL,NULL,110401000000,deleted
60,NULL,"Sepatu Trail",deleted,1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",42,"Camping & Hiking",54,"Sepatu & Boot",60,"Sepatu Trail",NULL,NULL,110401000000,deleted
61,NULL,"Volley ",deleted,1,"Root Category",2994,"Sports & Outdoors",61,"Volley ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
62,NULL,"Perlengkapan Latihan Voli",deleted,1,"Root Category",2994,"Sports & Outdoors",61,"Volley ",62,"Perlengkapan Latihan Voli",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
63,NULL,"Pelindung Voli",deleted,1,"Root Category",2994,"Sports & Outdoors",61,"Volley ",63,"Pelindung Voli",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
64,NULL,"Tiang Voli",deleted,1,"Root Category",2994,"Sports & Outdoors",61,"Volley ",64,"Tiang Voli",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
65,NULL,"Net Voli",deleted,1,"Root Category",2994,"Sports & Outdoors",61,"Volley ",65,"Net Voli",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
66,NULL,"Tas Perlengkapan Voli",deleted,1,"Root Category",2994,"Sports & Outdoors",61,"Volley ",66,"Tas Perlengkapan Voli",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
67,NULL,"Voli Luar Ruangan",deleted,1,"Root Category",2994,"Sports & Outdoors",61,"Volley ",67,"Voli Luar Ruangan",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
68,NULL,"Voli Dalam Ruangan",deleted,1,"Root Category",2994,"Sports & Outdoors",61,"Volley ",68,"Voli Dalam Ruangan",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
69,NULL,"Troli Voli",deleted,1,"Root Category",2994,"Sports & Outdoors",61,"Volley ",69,"Troli Voli",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
70,NULL,Tennis,deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
71,NULL,"Sepatu Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,71,"Sepatu Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
72,NULL,"Perlengkapan Latihan Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,72,"Perlengkapan Latihan Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
73,NULL,"Alat Penyenar Raket",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,73,"Alat Penyenar Raket",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
74,NULL,"Raket Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,74,"Raket Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
75,NULL,"Senar Raket Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,75,"Senar Raket Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
76,NULL,"Grip Raket Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,76,"Grip Raket Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
77,NULL,"Penutup Raket Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,77,"Penutup Raket Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
78,NULL,"Net Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,78,"Net Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
79,NULL,"Baju Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,79,"Baju Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
80,NULL,"Bola Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,80,"Bola Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
81,NULL,"Mesin Bola Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,81,"Mesin Bola Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
82,NULL,"Keranjang Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,82,"Keranjang Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
83,NULL,"Tas Tenis",deleted,1,"Root Category",2994,"Sports & Outdoors",70,Tennis,83,"Tas Tenis",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
84,110202000000,"Table Tennis",active,1,"Root Category",2994,"Sports & Outdoors",7766,"Racket Sports",84,"Table Tennis",NULL,NULL,NULL,NULL,NULL,NULL,110202000000,active
85,NULL,"Meja Tenis Meja",deleted,1,"Root Category",2994,"Sports & Outdoors",7766,"Racket Sports",84,"Table Tennis",85,"Meja Tenis Meja",NULL,NULL,NULL,NULL,110202000000,deleted
86,NULL,"Perangkat Tenis Meja",deleted,1,"Root Category",2994,"Sports & Outdoors",7766,"Racket Sports",84,"Table Tennis",86,"Perangkat Tenis Meja",NULL,NULL,NULL,NULL,110202000000,deleted
87,NULL,"Pingpong Rubbers",inactive,1,"Root Category",2994,"Sports & Outdoors",7766,"Racket Sports",84,"Table Tennis",87,"Pingpong Rubbers",NULL,NULL,NULL,NULL,110202000000,inactive
88,NULL,"Net Tenis Meja",deleted,1,"Root Category",2994,"Sports & Outdoors",7766,"Racket Sports",84,"Table Tennis",88,"Net Tenis Meja",NULL,NULL,NULL,NULL,110202000000,deleted
89,NULL,"Blade Tenis Meja",deleted,1,"Root Category",2994,"Sports & Outdoors",7766,"Racket Sports",84,"Table Tennis",89,"Blade Tenis Meja",NULL,NULL,NULL,NULL,110202000000,deleted
90,NULL,"Pingpong Bats",inactive,1,"Root Category",2994,"Sports & Outdoors",7766,"Racket Sports",84,"Table Tennis",90,"Pingpong Bats",NULL,NULL,NULL,NULL,110202000000,inactive
91,NULL,"Bola Tenis Meja",deleted,1,"Root Category",2994,"Sports & Outdoors",7766,"Racket Sports",84,"Table Tennis",91,"Bola Tenis Meja",NULL,NULL,NULL,NULL,110202000000,deleted
92,NULL,"Tas Tenis Meja",deleted,1,"Root Category",2994,"Sports & Outdoors",7766,"Racket Sports",84,"Table Tennis",92,"Tas Tenis Meja",NULL,NULL,NULL,NULL,110202000000,deleted
93,NULL,Swimming,deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
94,NULL,"Swimming Accessories",deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,94,"Swimming Accessories",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
95,NULL,"Perlengkapan Renang",deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,95,"Perlengkapan Renang",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
96,NULL,Topi,deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,96,Topi,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
97,NULL,"Kacamata Hitam",deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,97,"Kacamata Hitam",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
98,NULL,"Pakaian Renang",deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,98,"Pakaian Renang",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
99,NULL,"Pantai & Celana Selancar",deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,98,"Pakaian Renang",99,"Pantai & Celana Selancar",NULL,NULL,NULL,NULL,110000000000,deleted
100,NULL,Rompi,deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,98,"Pakaian Renang",100,Rompi,NULL,NULL,NULL,NULL,110000000000,deleted
101,NULL,"Celana Renang",deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,98,"Pakaian Renang",101,"Celana Renang",NULL,NULL,NULL,NULL,110000000000,deleted
102,NULL,"Baju Renang",deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,98,"Pakaian Renang",102,"Baju Renang",NULL,NULL,NULL,NULL,110000000000,deleted
103,NULL,Bikini,deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,98,"Pakaian Renang",103,Bikini,NULL,NULL,NULL,NULL,110000000000,deleted
104,NULL,"Baju Renang one-piece",deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,98,"Pakaian Renang",104,"Baju Renang one-piece",NULL,NULL,NULL,NULL,110000000000,deleted
105,NULL,"Baju renang two-piece",deleted,1,"Root Category",2994,"Sports & Outdoors",93,Swimming,98,"Pakaian Renang",105,"Baju renang two-piece",NULL,NULL,NULL,NULL,110000000000,deleted
106,NULL,Squash,deleted,1,"Root Category",2994,"Sports & Outdoors",106,Squash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
107,NULL,"Pelindung Squash",deleted,1,"Root Category",2994,"Sports & Outdoors",106,Squash,107,"Pelindung Squash",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
108,NULL,"Peralatan Squash",deleted,1,"Root Category",2994,"Sports & Outdoors",106,Squash,108,"Peralatan Squash",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
109,NULL,"Raket Squash",deleted,1,"Root Category",2994,"Sports & Outdoors",106,Squash,109,"Raket Squash",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
110,NULL,"Bola Squash",deleted,1,"Root Category",2994,"Sports & Outdoors",106,Squash,110,"Bola Squash",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
111,NULL,"Baju Squash",deleted,1,"Root Category",2994,"Sports & Outdoors",106,Squash,111,"Baju Squash",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
112,NULL,"Sepatu Squash",deleted,1,"Root Category",2994,"Sports & Outdoors",106,Squash,112,"Sepatu Squash",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
113,NULL,Skateboarding,deleted,1,"Root Category",2994,"Sports & Outdoors",113,Skateboarding,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
114,NULL,"Pelindung Skateboard",deleted,1,"Root Category",2994,"Sports & Outdoors",113,Skateboarding,114,"Pelindung Skateboard",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
115,NULL,"Perlengkapan Skateboard",deleted,1,"Root Category",2994,"Sports & Outdoors",113,Skateboarding,115,"Perlengkapan Skateboard",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
116,NULL,"Sepatu Skateboard",deleted,1,"Root Category",2994,"Sports & Outdoors",113,Skateboarding,116,"Sepatu Skateboard",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
117,NULL,"Truk Skateboard",deleted,1,"Root Category",2994,"Sports & Outdoors",113,Skateboarding,117,"Truk Skateboard",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
118,NULL,"Roda Skateboard",deleted,1,"Root Category",2994,"Sports & Outdoors",113,Skateboarding,118,"Roda Skateboard",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
119,NULL,"Papan Skateboard",deleted,1,"Root Category",2994,"Sports & Outdoors",113,Skateboarding,119,"Papan Skateboard",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
120,NULL,"Sepak Takraw",deleted,1,"Root Category",2994,"Sports & Outdoors",120,"Sepak Takraw",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
121,NULL,"Pelindung Sepak Takraw",deleted,1,"Root Category",2994,"Sports & Outdoors",120,"Sepak Takraw",121,"Pelindung Sepak Takraw",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
122,NULL,"Perlengkapan Sepak Takraw",deleted,1,"Root Category",2994,"Sports & Outdoors",120,"Sepak Takraw",122,"Perlengkapan Sepak Takraw",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
123,NULL,"Jaring Sepak Takraw",deleted,1,"Root Category",2994,"Sports & Outdoors",120,"Sepak Takraw",123,"Jaring Sepak Takraw",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
124,NULL,"Bola Sepak Takraw",deleted,1,"Root Category",2994,"Sports & Outdoors",120,"Sepak Takraw",124,"Bola Sepak Takraw",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
125,NULL,"Baju Sepak Takraw",deleted,1,"Root Category",2994,"Sports & Outdoors",120,"Sepak Takraw",125,"Baju Sepak Takraw",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
126,NULL,"Sepatu Sepak Takraw",deleted,1,"Root Category",2994,"Sports & Outdoors",120,"Sepak Takraw",126,"Sepatu Sepak Takraw",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
127,NULL,Running,deleted,1,"Root Category",2994,"Sports & Outdoors",127,Running,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
128,NULL,"Perlengkapan Lari",deleted,1,"Root Category",2994,"Sports & Outdoors",127,Running,128,"Perlengkapan Lari",NULL,NULL,NULL,NULL,NULL,NULL,110000000000,deleted
