id_shipment_scheme,shipment_scheme,exclude_payment_method,tax_class,is_marketplace,first_shipment_provider,last_shipment_provider,exclude_shipment_provider,shipping_type,delivery_type,auto_shipping_fee_credit,fk_api_type,start_date,end_date
1,DIGITAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,digital,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
2,DIGITAL,NULL,NULL,NULL,Digital Delivery,NULL,NULL,NULL,NULL,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
3,DIGITAL,NULL,NULL,NULL,NULL,Digital Delivery,NULL,NULL,NULL,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
4,CROSS BORDER,NULL,international,1,NULL,NULL,NULL,NULL,NULL,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
5,RETAIL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
6,EXPRESS DIRECT BILLING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,express,NULL,10001,1900-01-01 00:00:00,9999-12-31 23:59:59
7,EXPRESS DIRECT BILLING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nextday,NULL,10001,1900-01-01 00:00:00,9999-12-31 23:59:59
8,EXPRESS DIRECT BILLING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sameday,NULL,10001,1900-01-01 00:00:00,9999-12-31 23:59:59
9,DIRECT BILLING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10001,1900-01-01 00:00:00,9999-12-31 23:59:59
10,EXPRESS FBL,NULL,NULL,NULL,NULL,NULL,NULL,warehouse,express,NULL,10002,1900-01-01 00:00:00,9999-12-31 23:59:59
11,EXPRESS FBL,NULL,NULL,NULL,NULL,NULL,NULL,warehouse,nextday,NULL,10002,1900-01-01 00:00:00,9999-12-31 23:59:59
12,EXPRESS FBL,NULL,NULL,NULL,NULL,NULL,NULL,warehouse,sameday,NULL,10002,1900-01-01 00:00:00,9999-12-31 23:59:59
