id_campaign_tracker,fk_campaign,bob_id_supplier,short_code,seller_name,start_date,end_date,active
NULL,2,3201,ID102LG,MyKeika,2016-05-01 00:00:00,2016-05-31 23:59:59,1
NULL,2,13287,ID10AUM,jakarta beauty store,2016-05-01 00:00:00,2016-05-31 23:59:59,1
NULL,2,969,ID100SO,DelCell Store,2016-05-01 00:00:00,,1
NULL,2,1099,ID100WE,Max Toko Promotion,2016-05-01 00:00:00,,1
NULL,2,949,ID100S4,Watch Market,2016-05-01 00:00:00,,1
NULL,2,3284,ID102NU,Godric Store,2016-05-01 00:00:00,,1
NULL,2,38581,ID10WHB,MacBear ID,2016-08-01 00:00:00,,1
NULL,2,6800,ID105JA,joubeautyshop,2016-05-01 00:00:00,,1
NULL,2,4599,ID103RE,Mesin Jahit - SJS,2016-05-01 00:00:00,,1
NULL,2,1693,ID101DD,Redknot Shoes,2016-05-01 00:00:00,,1
NULL,2,3260,ID102N5,Marketjamtangan,2016-05-01 00:00:00,,1
NULL,2,5292,ID104B7,RajawaliStore88,2016-05-01 00:00:00,,1
NULL,2,1429,ID1015U,unomax,2016-05-01 00:00:00,,1
NULL,2,14090,ID10BHK,Hermantech,2016-05-01 00:00:00,,1
NULL,2,1273,ID1011D,Kenkez,2016-05-01 00:00:00,,1
NULL,2,2740,ID1028A,Kardel Shop,2016-05-01 00:00:00,,1
NULL,2,14502,ID10BUC,Kokakaa Living,2016-05-01 00:00:00,,1
NULL,2,17783,ID10EI3,Sentra Kosmetik,2016-05-01 00:00:00,,1
NULL,2,1635,ID101BP,Clique Corner,2016-05-01 00:00:00,,1
NULL,2,7665,ID10690,City Acc,2016-05-01 00:00:00,,1
NULL,2,2011,ID101MG,Azkalisha Computer Shop,2016-05-01 00:00:00,,1
NULL,2,976,ID100SW,Toko USB,2016-05-01 00:00:00,,1
NULL,2,3578,ID102X8,Bag Solution,2016-05-01 00:00:00,,1
NULL,2,1596,ID101AL,KN shop,2016-05-01 00:00:00,,1
NULL,2,907,ID100PX,VONA,2016-05-01 00:00:00,,1
NULL,2,9768,ID107Z3,CASEKUS,2016-05-01 00:00:00,,1
NULL,2,3244,ID102MO,Elfs Shop,2016-05-01 00:00:00,,1
NULL,2,9048,ID107DI,ranselku.com,2016-05-01 00:00:00,,1
NULL,2,4737,ID103VC,Topaten,2016-05-01 00:00:00,,1
NULL,2,4998,ID1042T,THE LUX COSMETICS,2016-05-01 00:00:00,,1
NULL,2,1751,ID101F1,BEST CONNECTIONS KITS,2016-05-01 00:00:00,,1
NULL,2,10287,ID108DX,Nice for kids,2016-05-01 00:00:00,,1
NULL,2,13902,ID10BC7,Axxo,2016-05-01 00:00:00,,1
NULL,2,2342,ID101WX,Toko Accessories,2016-05-01 00:00:00,,1
NULL,2,38078,ID10W2Y,Toko sejahtera Surabaya,2016-05-01 00:00:00,,1
NULL,2,1492,ID1017M,Kokakaa Home,2016-05-01 00:00:00,,1
NULL,2,14673,ID10BZ8,The Chef & Snack,2016-05-01 00:00:00,2016-08-31 23:59:59,1
NULL,2,9946,ID10846,Marlow Jean,2016-05-01 00:00:00,,1
NULL,2,28986,ID10NN6,annabellashop,2016-05-01 00:00:00,,1
NULL,2,1294,ID1011Z,Matahari Foto,2016-05-01 00:00:00,,1
NULL,2,21817,ID10HTC,Beau Shop,2016-05-01 00:00:00,,1
NULL,2,1493,ID1017N,Kokakaa,2016-05-01 00:00:00,,1
NULL,2,1720,ID101E5,Timely Indonesia,2016-05-01 00:00:00,,1
NULL,2,1520,ID1018F,Mayonette Store,2016-05-01 00:00:00,,1
NULL,2,2132,ID101PX,ANGEL,2016-05-01 00:00:00,,1
NULL,2,5000,ID1042V,SUN-ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â­nie beauty,2016-05-01 00:00:00,,1
NULL,2,10944,ID108XO,Dinamis_Darwin,2016-05-01 00:00:00,,1
NULL,2,3328,ID102P3,CX Shop,2016-05-01 00:00:00,,1
NULL,2,2742,ID1028C,BGC SHOP,2016-05-01 00:00:00,,1
NULL,2,3439,ID102T9,Sriwijaya,2016-05-01 00:00:00,,1
NULL,2,3043,ID102GY,Home - Klik,2016-05-01 00:00:00,,1
NULL,2,815,ID100NA,Kamerakamera,2016-05-01 00:00:00,,1
NULL,2,18455,ID10F2A,CelanaDalamPriaID,2016-05-01 00:00:00,,1
NULL,2,1609,ID101AZ,Gadget Holics,2016-05-01 00:00:00,,1
NULL,2,6346,ID1056B,INDO CAMERA BAG,2016-05-01 00:00:00,,1
NULL,2,2199,ID101SU,Abadi Jaya,2016-05-01 00:00:00,,1
NULL,2,35441,ID10TXL,Harga-Gila,2016-05-01 00:00:00,,1
NULL,2,3330,ID102P5,Game Station,2016-05-01 00:00:00,,1
NULL,2,13286,ID10AUL,jojo beautyshop,2016-05-01 00:00:00,,1
NULL,2,945,ID100S0,HKB Fashion,2016-05-01 00:00:00,,1
NULL,2,2088,ID101ON,Tomindo,2016-05-01 00:00:00,,1
NULL,2,5558,ID104IT,KaosYES,2016-05-01 00:00:00,2016-06-30 23:59:59,1
NULL,2,2486,ID10211,Bersama Sejahtera,2016-05-01 00:00:00,,1
NULL,2,6169,ID10519,Bcare Store,2016-05-01 00:00:00,,1
NULL,2,1744,ID101EU,Quincy Label,2016-05-01 00:00:00,,1
NULL,2,2917,ID102DC,Toko David,2016-05-01 00:00:00,,1
NULL,2,14237,ID10BLS,Alexandre Costie,2016-05-01 00:00:00,,1
NULL,2,9878,ID10828,Tokousbcom,2016-05-01 00:00:00,,1
NULL,2,1287,ID1011S,Paling Laku,2016-05-01 00:00:00,,1
NULL,2,3969,ID1038E,AIUEO Living,2016-05-01 00:00:00,,1
NULL,2,1740,ID101EP,Ridista Online,2016-05-01 00:00:00,,1
NULL,2,6012,ID104WS,Virgo Shop,2016-05-01 00:00:00,,1
NULL,2,1893,ID101J3,Kios teknologi,2016-05-01 00:00:00,,1
NULL,2,4387,ID103KC,Gudang Fashion,2016-05-01 00:00:00,,1
NULL,2,5803,ID104PT,j_fashion,2016-05-01 00:00:00,,1
NULL,2,33607,ID10SF7,GUDANG TUPPERWARE,2016-05-01 00:00:00,,1
NULL,2,17846,ID10EJW,Gila Gadget Shop,2016-05-01 00:00:00,,1
NULL,2,12237,ID109ZM,Alisha Shop,2016-05-01 00:00:00,,1
NULL,2,3928,ID10378,AIUEO H&B,2016-05-01 00:00:00,,1
NULL,2,13702,ID10B6H,AceWin Bazaar,2016-05-01 00:00:00,,1
NULL,2,32660,ID10RN5,StarHome,2016-05-01 00:00:00,,1
NULL,2,44685,ID111GP,TechLand LTD,2016-05-01 00:00:00,,1
NULL,2,5108,ID1045Y,Utama Electronic,2016-05-01 00:00:00,,1
NULL,2,3432,ID102T2,Wanky Cell,2016-06-01 00:00:00,,1
NULL,2,1466,ID1016W,Mega Solution,2016-06-01 00:00:00,,1
NULL,2,14286,ID10BN6,Bosonline,2016-06-01 00:00:00,,1
NULL,2,1836,ID101HG,Ea Online,2016-06-01 00:00:00,,1
NULL,2,2549,ID1022U,GOGO Shop,2016-06-01 00:00:00,,1
NULL,2,25194,ID10KJU,Alldays Mart,2016-06-01 00:00:00,,1
