id_free_zone,id_region,region,id_city,city,id_district,district,fk_zone_type,active
1,39,"Sumatera Utara",175,"Kab. Tapanuli Tengah",183,Sirandorung,1,1
2,39,"Sumatera Utara",544,"Kota Medan",545,"Medan Tuntungan",1,1
3,39,"Sumatera Utara",544,"Kota Medan",546,"Medan Timur",1,1
4,39,"Sumatera Utara",544,"Kota Medan",547,"Medan Tembung",1,1
5,39,"Sumatera Utara",544,"Kota Medan",548,"Medan Sunggal",1,1
6,39,"Sumatera Utara",544,"Kota Medan",549,"Medan Selayang",1,1
7,39,"Sumatera Utara",544,"Kota Medan",550,"Medan Polonia",1,1
8,39,"Sumatera Utara",544,"Kota Medan",551,"Medan Petisah",1,1
9,39,"Sumatera Utara",544,"Kota Medan",552,"Medan Perjuangan",1,1
10,39,"Sumatera Utara",544,"Kota Medan",553,"Medan Marelan",1,1
11,39,"Sumatera Utara",544,"Kota Medan",554,"Medan Maimun",1,1
12,39,"Sumatera Utara",544,"Kota Medan",555,"Medan Labuhan",1,1
13,39,"Sumatera Utara",544,"Kota Medan",556,"Medan Kota",1,1
14,39,"Sumatera Utara",544,"Kota Medan",557,"Medan Johor",1,1
15,39,"Sumatera Utara",544,"Kota Medan",558,"Medan Helvetia",1,1
16,39,"Sumatera Utara",544,"Kota Medan",559,"Medan Denai",1,1
17,39,"Sumatera Utara",544,"Kota Medan",560,"Medan Deli",1,1
18,39,"Sumatera Utara",544,"Kota Medan",561,"Medan Belawan Kota",1,1
19,39,"Sumatera Utara",544,"Kota Medan",562,"Medan Baru",1,1
20,39,"Sumatera Utara",544,"Kota Medan",563,"Medan Barat",1,1
21,39,"Sumatera Utara",544,"Kota Medan",564,"Medan Area",1,1
22,39,"Sumatera Utara",544,"Kota Medan",565,"Medan Amplas",1,1
23,34,"Sumatera Selatan",774,"Kota Palembang",775,Sukarami,1,1
24,34,"Sumatera Selatan",774,"Kota Palembang",776,"Sematang Borang",1,1
25,34,"Sumatera Selatan",774,"Kota Palembang",777,"Seberang Ulu Ii",1,1
26,34,"Sumatera Selatan",774,"Kota Palembang",778,"Seberang Ulu I",1,1
27,34,"Sumatera Selatan",774,"Kota Palembang",779,Sako,1,1
28,34,"Sumatera Selatan",774,"Kota Palembang",780,Plaju,1,1
29,34,"Sumatera Selatan",774,"Kota Palembang",781,Kertapati,1,1
30,34,"Sumatera Selatan",774,"Kota Palembang",782,Kemuning,1,1
31,34,"Sumatera Selatan",774,"Kota Palembang",783,Kalidoni,1,1
32,34,"Sumatera Selatan",774,"Kota Palembang",784,"Ilir Timur Ii",1,1
33,34,"Sumatera Selatan",774,"Kota Palembang",785,"Ilir Timur I",1,1
34,34,"Sumatera Selatan",774,"Kota Palembang",786,"Ilir Barat Ii",1,1
35,34,"Sumatera Selatan",774,"Kota Palembang",787,"Ilir Barat I",1,1
36,34,"Sumatera Selatan",774,"Kota Palembang",788,Gandus,1,1
37,34,"Sumatera Selatan",774,"Kota Palembang",789,"Bukit Kecil",1,1
38,34,"Sumatera Selatan",774,"Kota Palembang",790,"Alang-Alang Lebar",1,1
39,31,"Sumatera Barat",970,"Kota Padang",971,Pauh,1,1
40,31,"Sumatera Barat",970,"Kota Padang",972,"Padang Utara",1,1
41,31,"Sumatera Barat",970,"Kota Padang",973,"Padang Timur",1,1
42,31,"Sumatera Barat",970,"Kota Padang",974,"Padang Selatan",1,1
43,31,"Sumatera Barat",970,"Kota Padang",975,"Padang Barat",1,1
44,31,"Sumatera Barat",970,"Kota Padang",976,Nanggalo,1,1
45,31,"Sumatera Barat",970,"Kota Padang",977,"Lubuk Kilangan",1,1
46,31,"Sumatera Barat",970,"Kota Padang",978,"Lubuk Begalung",1,1
47,31,"Sumatera Barat",970,"Kota Padang",979,Kuranji,1,1
48,31,"Sumatera Barat",970,"Kota Padang",980,"Koto Tangah",1,1
49,31,"Sumatera Barat",970,"Kota Padang",981,"Bungus Teluk Kabung",1,1
50,45,"Sulawesi Selatan",1728,"Kab. Gowa",1732,"Somba Opu (Upu)",1,1
51,45,"Sulawesi Selatan",1728,"Kab. Gowa",1736,Pallangga,1,1
52,45,"Sulawesi Selatan",1831,"Kota Makassar",1832,Wajo,1,1
53,45,"Sulawesi Selatan",1831,"Kota Makassar",1833,"Ujung Tanah",1,1
54,45,"Sulawesi Selatan",1831,"Kota Makassar",1834,"Ujung Pandang",1,1
55,45,"Sulawesi Selatan",1831,"Kota Makassar",1835,Tamalate,1,1
56,45,"Sulawesi Selatan",1831,"Kota Makassar",1836,Tamalanrea,1,1
57,45,"Sulawesi Selatan",1831,"Kota Makassar",1837,Tallo,1,1
58,45,"Sulawesi Selatan",1831,"Kota Makassar",1838,Rappocini,1,1
59,45,"Sulawesi Selatan",1831,"Kota Makassar",1839,Panakkukang,1,1
60,45,"Sulawesi Selatan",1831,"Kota Makassar",1840,Mariso,1,1
61,45,"Sulawesi Selatan",1831,"Kota Makassar",1841,Manggala,1,1
62,45,"Sulawesi Selatan",1831,"Kota Makassar",1842,Mamajang,1,1
63,45,"Sulawesi Selatan",1831,"Kota Makassar",1843,Makassar,1,1
64,45,"Sulawesi Selatan",1831,"Kota Makassar",1844,Bontoala,1,1
65,45,"Sulawesi Selatan",1831,"Kota Makassar",1845,"Biring Kanaya",1,1
66,21,Riau,2060,"Kota Pekanbaru",2061,"Tenayan Raya",1,1
67,21,Riau,2060,"Kota Pekanbaru",2062,Tampan,1,1
68,21,Riau,2060,"Kota Pekanbaru",2063,Sukajadi,1,1
69,21,Riau,2060,"Kota Pekanbaru",2064,Senapelan,1,1
70,21,Riau,2060,"Kota Pekanbaru",2065,Sail,1,1
71,21,Riau,2060,"Kota Pekanbaru",2066,"Rumbai Pesisir",1,1
72,21,Riau,2060,"Kota Pekanbaru",2068,"Pekanbaru Kota",1,1
73,21,Riau,2060,"Kota Pekanbaru",2069,"Payung Sekaki",1,1
74,21,Riau,2060,"Kota Pekanbaru",2070,"Marpoyan Damai",1,1
75,21,Riau,2060,"Kota Pekanbaru",2071,"Lima Puluh",1,1
76,21,Riau,2060,"Kota Pekanbaru",2072,"Bukit Raya",1,1
77,18,Lampung,3687,"Kab. Lampung Selatan",3697,Natar,1,1
78,18,Lampung,3729,"Kota Bandar Lampung",3730,"Telukbetung Utara",1,1
79,18,Lampung,3729,"Kota Bandar Lampung",3731,"Telukbetung Selatan",1,1
80,18,Lampung,3729,"Kota Bandar Lampung",3732,"Telukbetung Barat",1,1
81,18,Lampung,3729,"Kota Bandar Lampung",3733,"Tanjung Senang",1,1
82,18,Lampung,3729,"Kota Bandar Lampung",3734,"Tanjung Karang Timur",1,1
83,18,Lampung,3729,"Kota Bandar Lampung",3735,"Tanjung Karang Pusat",1,1
84,18,Lampung,3729,"Kota Bandar Lampung",3736,"Tanjung Karang Barat",1,1
85,18,Lampung,3729,"Kota Bandar Lampung",3737,Sukarame,1,1
86,18,Lampung,3729,"Kota Bandar Lampung",3738,Sukabumi,1,1
87,18,Lampung,3729,"Kota Bandar Lampung",3739,Rajabasa,1,1
88,18,Lampung,3729,"Kota Bandar Lampung",3740,Panjang,1,1
89,18,Lampung,3729,"Kota Bandar Lampung",3741,Kemiling,1,1
90,18,Lampung,3729,"Kota Bandar Lampung",3742,Kedaton,1,1
91,24,"Kalimantan Timur",3939,"Kota Samarinda",3940,"Sungai Kunjang",1,1
92,24,"Kalimantan Timur",3939,"Kota Samarinda",3941,"Samarinda Utara",1,1
93,24,"Kalimantan Timur",3939,"Kota Samarinda",3942,"Samarinda Ulu",1,1
94,24,"Kalimantan Timur",3939,"Kota Samarinda",3943,"Samarinda Seberang",1,1
95,24,"Kalimantan Timur",3939,"Kota Samarinda",3944,"Samarinda Ilir",1,1
96,24,"Kalimantan Timur",3939,"Kota Samarinda",3945,Palaran,1,1
97,24,"Kalimantan Timur",3950,"Kota Balikpapan",3951,"Balikpapan Utara",1,1
98,24,"Kalimantan Timur",3950,"Kota Balikpapan",3952,"Balikpapan Timur",1,1
99,24,"Kalimantan Timur",3950,"Kota Balikpapan",3953,"Balikpapan Tengah",1,1
100,24,"Kalimantan Timur",3950,"Kota Balikpapan",3954,"Balikpapan Selatan",1,1
101,24,"Kalimantan Timur",3950,"Kota Balikpapan",3955,"Balikpapan Barat",1,1
102,23,"Jawa Timur",4441,"Kab. Tulungagung",4442,Tulungagung,2,1
787,23,"Jawa Timur",4441,"Kab. Tulungagung",4444,Sumbergempol,4,1
788,23,"Jawa Timur",4441,"Kab. Tulungagung",4445,Sendang,4,1
789,23,"Jawa Timur",4441,"Kab. Tulungagung",4446,Rejotangan,4,1
790,23,"Jawa Timur",4441,"Kab. Tulungagung",4448,Pakel,4,1
791,23,"Jawa Timur",4441,"Kab. Tulungagung",4449,Pagerwojo,4,1
792,23,"Jawa Timur",4441,"Kab. Tulungagung",4450,Ngunut,4,1
793,23,"Jawa Timur",4441,"Kab. Tulungagung",4451,Ngantru,4,1
794,23,"Jawa Timur",4441,"Kab. Tulungagung",4452,Kedungwaru,4,1
795,23,"Jawa Timur",4441,"Kab. Tulungagung",4453,Kauman,4,1
796,23,"Jawa Timur",4441,"Kab. Tulungagung",4454,"Karang Rejo",4,1
797,23,"Jawa Timur",4441,"Kab. Tulungagung",4455,Kalidawir,4,1
798,23,"Jawa Timur",4441,"Kab. Tulungagung",4456,Gondang,4,1
799,23,"Jawa Timur",4441,"Kab. Tulungagung",4457,"Campur Darat",4,1
800,23,"Jawa Timur",4441,"Kab. Tulungagung",4458,Boyolangu,4,1
801,23,"Jawa Timur",4441,"Kab. Tulungagung",4459,Besuki,4,1
802,23,"Jawa Timur",4441,"Kab. Tulungagung",4460,Bandung,4,1
803,23,"Jawa Timur",4461,"Kab. Tuban",4462,Widang,4,1
103,23,"Jawa Timur",4461,"Kab. Tuban",4463,Tuban,2,1
804,23,"Jawa Timur",4461,"Kab. Tuban",4464,Tambakboyo,4,1
805,23,"Jawa Timur",4461,"Kab. Tuban",4465,Soko,4,1
806,23,"Jawa Timur",4461,"Kab. Tuban",4466,Singgahan,4,1
807,23,"Jawa Timur",4461,"Kab. Tuban",4467,Senori,4,1
808,23,"Jawa Timur",4461,"Kab. Tuban",4468,Semanding,4,1
809,23,"Jawa Timur",4461,"Kab. Tuban",4469,Rengel,4,1
810,23,"Jawa Timur",4461,"Kab. Tuban",4470,Plumpang,4,1
811,23,"Jawa Timur",4461,"Kab. Tuban",4471,Parengan,4,1
812,23,"Jawa Timur",4461,"Kab. Tuban",4472,Palang,4,1
813,23,"Jawa Timur",4461,"Kab. Tuban",4473,Montong,4,1
814,23,"Jawa Timur",4461,"Kab. Tuban",4474,Merakurak,4,1
815,23,"Jawa Timur",4461,"Kab. Tuban",4475,Kerek,4,1
816,23,"Jawa Timur",4461,"Kab. Tuban",4476,Kenduruan,4,1
817,23,"Jawa Timur",4461,"Kab. Tuban",4477,Jenu,4,1
818,23,"Jawa Timur",4461,"Kab. Tuban",4478,Jatirogo,4,1
819,23,"Jawa Timur",4461,"Kab. Tuban",4480,Bangilan,4,1
820,23,"Jawa Timur",4461,"Kab. Tuban",4481,Bancar,4,1
822,23,"Jawa Timur",4482,"Kab. Trenggalek",4483,Watulimo,4,1
823,23,"Jawa Timur",4482,"Kab. Trenggalek",4484,Tugu,4,1
104,23,"Jawa Timur",4482,"Kab. Trenggalek",4485,Trenggalek,2,1
824,23,"Jawa Timur",4482,"Kab. Trenggalek",4486,Suruh,4,1
825,23,"Jawa Timur",4482,"Kab. Trenggalek",4487,Pule,4,1
826,23,"Jawa Timur",4482,"Kab. Trenggalek",4488,Pogalan,4,1
827,23,"Jawa Timur",4482,"Kab. Trenggalek",4489,Panggul,4,1
828,23,"Jawa Timur",4482,"Kab. Trenggalek",4490,Munjungan,4,1
829,23,"Jawa Timur",4482,"Kab. Trenggalek",4491,Karangan,4,1
830,23,"Jawa Timur",4482,"Kab. Trenggalek",4492,Kampak,4,1
831,23,"Jawa Timur",4482,"Kab. Trenggalek",4493,Gandusari,4,1
832,23,"Jawa Timur",4482,"Kab. Trenggalek",4494,Durenan,4,1
833,23,"Jawa Timur",4482,"Kab. Trenggalek",4495,Dongko,4,1
105,23,"Jawa Timur",4543,"Kab. Sidoarjo",4544,Wonoayu,1,1
106,23,"Jawa Timur",4543,"Kab. Sidoarjo",4545,Waru,1,1
107,23,"Jawa Timur",4543,"Kab. Sidoarjo",4546,Tulangan,1,1
108,23,"Jawa Timur",4543,"Kab. Sidoarjo",4547,Tarik,1,1
109,23,"Jawa Timur",4543,"Kab. Sidoarjo",4548,Tanggulangin,1,1
110,23,"Jawa Timur",4543,"Kab. Sidoarjo",4549,Taman,1,1
111,23,"Jawa Timur",4543,"Kab. Sidoarjo",4550,Sukodono,1,1
112,23,"Jawa Timur",4543,"Kab. Sidoarjo",4551,Sidoarjo,1,1
113,23,"Jawa Timur",4543,"Kab. Sidoarjo",4552,Sedati,1,1
114,23,"Jawa Timur",4543,"Kab. Sidoarjo",4553,Prambon,1,1
115,23,"Jawa Timur",4543,"Kab. Sidoarjo",4554,Porong,1,1
116,23,"Jawa Timur",4543,"Kab. Sidoarjo",4555,Krian,1,1
117,23,"Jawa Timur",4543,"Kab. Sidoarjo",4556,Krembung,1,1
118,23,"Jawa Timur",4543,"Kab. Sidoarjo",4557,Jabon,1,1
119,23,"Jawa Timur",4543,"Kab. Sidoarjo",4558,Gedangan,1,1
120,23,"Jawa Timur",4543,"Kab. Sidoarjo",4559,Candi,1,1
121,23,"Jawa Timur",4543,"Kab. Sidoarjo",4560,Buduran,1,1
122,23,"Jawa Timur",4543,"Kab. Sidoarjo",4561,Balongbendo,1,1
834,23,"Jawa Timur",4562,"Kab. Sampang",4563,Torjun,4,1
835,23,"Jawa Timur",4562,"Kab. Sampang",4564,Tambelangan,4,1
836,23,"Jawa Timur",4562,"Kab. Sampang",4565,Sreseh,4,1
837,23,"Jawa Timur",4562,"Kab. Sampang",4566,Sokobanah,4,1
123,23,"Jawa Timur",4562,"Kab. Sampang",4567,Sampang,2,1
838,23,"Jawa Timur",4562,"Kab. Sampang",4569,Pangarengan,4,1
839,23,"Jawa Timur",4562,"Kab. Sampang",4570,Omben,4,1
840,23,"Jawa Timur",4562,"Kab. Sampang",4571,Ketapang,4,1
841,23,"Jawa Timur",4562,"Kab. Sampang",4572,Kedungdung,4,1
842,23,"Jawa Timur",4562,"Kab. Sampang",4573,"Karang Penang",4,1
843,23,"Jawa Timur",4562,"Kab. Sampang",4574,Jrengik,4,1
844,23,"Jawa Timur",4562,"Kab. Sampang",4575,Camplong,4,1
845,23,"Jawa Timur",4562,"Kab. Sampang",4576,Banyuates,4,1
124,23,"Jawa Timur",4577,"Kab. Probolinggo",4590,Leces,1,1
125,23,"Jawa Timur",4577,"Kab. Probolinggo",4598,Dringu,1,1
846,23,"Jawa Timur",4624,"Kab. Pasuruan",4625,Wonorejo,4,1
847,23,"Jawa Timur",4624,"Kab. Pasuruan",4626,Winongan,4,1
848,23,"Jawa Timur",4624,"Kab. Pasuruan",4627,Tutur,4,1
849,23,"Jawa Timur",4624,"Kab. Pasuruan",4629,Sukorejo,4,1
850,23,"Jawa Timur",4624,"Kab. Pasuruan",4630,Rembang,4,1
851,23,"Jawa Timur",4624,"Kab. Pasuruan",4631,Rejoso,4,1
852,23,"Jawa Timur",4624,"Kab. Pasuruan",4633,Purwosari,4,1
853,23,"Jawa Timur",4624,"Kab. Pasuruan",4634,Purwodadi,4,1
854,23,"Jawa Timur",4624,"Kab. Pasuruan",4635,Prigen,4,1
855,23,"Jawa Timur",4624,"Kab. Pasuruan",4636,Pohjentrek,4,1
856,23,"Jawa Timur",4624,"Kab. Pasuruan",4637,Pasrepan,4,1
126,23,"Jawa Timur",4624,"Kab. Pasuruan",4638,Pandaan,2,1
857,23,"Jawa Timur",4624,"Kab. Pasuruan",4639,Nguling,4,1
858,23,"Jawa Timur",4624,"Kab. Pasuruan",4641,Lekok,4,1
859,23,"Jawa Timur",4624,"Kab. Pasuruan",4642,Kraton,4,1
860,23,"Jawa Timur",4624,"Kab. Pasuruan",4643,Kejayan,4,1
861,23,"Jawa Timur",4624,"Kab. Pasuruan",4644,Grati,4,1
862,23,"Jawa Timur",4624,"Kab. Pasuruan",4645,"Gondang Wetan",4,1
863,23,"Jawa Timur",4624,"Kab. Pasuruan",4646,Gempol,4,1
864,23,"Jawa Timur",4624,"Kab. Pasuruan",4647,Beji,4,1
127,23,"Jawa Timur",4624,"Kab. Pasuruan",4648,Bangil,2,1
867,23,"Jawa Timur",4649,"Kab. Pamekasan",4650,Waru,4,1
868,23,"Jawa Timur",4649,"Kab. Pamekasan",4651,Tlanakan,4,1
869,23,"Jawa Timur",4649,"Kab. Pamekasan",4652,Proppo,4,1
870,23,"Jawa Timur",4649,"Kab. Pamekasan",4653,Pegantenan,4,1
871,23,"Jawa Timur",4649,"Kab. Pamekasan",4654,Pasean,4,1
128,23,"Jawa Timur",4649,"Kab. Pamekasan",4655,Pamekasan,2,1
872,23,"Jawa Timur",4649,"Kab. Pamekasan",4656,Palenga'an,4,1
873,23,"Jawa Timur",4649,"Kab. Pamekasan",4657,Pakong,4,1
874,23,"Jawa Timur",4649,"Kab. Pamekasan",4658,Pademawu,4,1
875,23,"Jawa Timur",4649,"Kab. Pamekasan",4659,Larangan,4,1
876,23,"Jawa Timur",4649,"Kab. Pamekasan",4660,Kadur,4,1
877,23,"Jawa Timur",4649,"Kab. Pamekasan",4661,Galis,4,1
878,23,"Jawa Timur",4649,"Kab. Pamekasan",4662,Batumarmar,4,1
880,23,"Jawa Timur",4696,"Kab. Nganjuk",4697,Wilangan,4,1
881,23,"Jawa Timur",4696,"Kab. Nganjuk",4698,Tanjunganom,4,1
882,23,"Jawa Timur",4696,"Kab. Nganjuk",4699,Sukomoro,4,1
883,23,"Jawa Timur",4696,"Kab. Nganjuk",4700,Sawahan,4,1
884,23,"Jawa Timur",4696,"Kab. Nganjuk",4701,Rejoso,4,1
885,23,"Jawa Timur",4696,"Kab. Nganjuk",4702,Prambon,4,1
886,23,"Jawa Timur",4696,"Kab. Nganjuk",4703,Patianrowo,4,1
887,23,"Jawa Timur",4696,"Kab. Nganjuk",4704,Pace,4,1
888,23,"Jawa Timur",4696,"Kab. Nganjuk",4705,Ngronggot,4,1
889,23,"Jawa Timur",4696,"Kab. Nganjuk",4706,Ngluyu,4,1
890,23,"Jawa Timur",4696,"Kab. Nganjuk",4707,Ngetos,4,1
129,23,"Jawa Timur",4696,"Kab. Nganjuk",4708,Nganjuk,2,1
891,23,"Jawa Timur",4696,"Kab. Nganjuk",4709,Loceret,4,1
892,23,"Jawa Timur",4696,"Kab. Nganjuk",4710,Lengkong,4,1
893,23,"Jawa Timur",4696,"Kab. Nganjuk",4711,Kertosono,4,1
894,23,"Jawa Timur",4696,"Kab. Nganjuk",4712,Jatikalen,4,1
895,23,"Jawa Timur",4696,"Kab. Nganjuk",4713,Gondang,4,1
896,23,"Jawa Timur",4696,"Kab. Nganjuk",4714,Berbek,4,1
897,23,"Jawa Timur",4696,"Kab. Nganjuk",4715,Baron,4,1
898,23,"Jawa Timur",4696,"Kab. Nganjuk",4716,Bagor,4,1
130,23,"Jawa Timur",4717,"Kab. Mojokerto",4718,Trowulan,1,1
131,23,"Jawa Timur",4717,"Kab. Mojokerto",4719,Trawas,1,1
132,23,"Jawa Timur",4717,"Kab. Mojokerto",4720,Sooko,1,1
133,23,"Jawa Timur",4717,"Kab. Mojokerto",4721,Puri,1,1
134,23,"Jawa Timur",4717,"Kab. Mojokerto",4722,Pungging,1,1
135,23,"Jawa Timur",4717,"Kab. Mojokerto",4723,Pacet,1,1
136,23,"Jawa Timur",4717,"Kab. Mojokerto",4724,Ngoro,1,1
137,23,"Jawa Timur",4717,"Kab. Mojokerto",4725,Mojosari,1,1
138,23,"Jawa Timur",4717,"Kab. Mojokerto",4726,Mojoanyar,1,1
139,23,"Jawa Timur",4717,"Kab. Mojokerto",4727,Kutorejo,1,1
140,23,"Jawa Timur",4717,"Kab. Mojokerto",4728,Kemlagi,1,1
141,23,"Jawa Timur",4717,"Kab. Mojokerto",4729,Jetis,1,1
142,23,"Jawa Timur",4717,"Kab. Mojokerto",4730,Jatirejo,1,1
143,23,"Jawa Timur",4717,"Kab. Mojokerto",4731,Gondang,1,1
144,23,"Jawa Timur",4717,"Kab. Mojokerto",4732,Gedeg,1,1
145,23,"Jawa Timur",4717,"Kab. Mojokerto",4733,Dlanggu,1,1
146,23,"Jawa Timur",4717,"Kab. Mojokerto",4734,"Dawar Blandong",1,1
147,23,"Jawa Timur",4717,"Kab. Mojokerto",4735,Bangsal,1,1
