id_free_zone,id_region,region,id_city,city,id_district,district,fk_zone_type,active
1,29,Bali,7096,Kab. Gianyar,7103,Belah Batuh (Blahbatuh),0,1
2,29,Bali,7096,Kab. Gianyar,7102,Gianyar,0,1
3,29,Bali,7096,Kab. Gianyar,7101,Payangan,0,1
4,29,Bali,7096,Kab. Gianyar,7100,Sukawati,0,1
5,29,Bali,7096,Kab. Gianyar,7099,Tampak Siring,0,1
6,29,Bali,7096,Kab. Gianyar,7098,Tegal lalang,0,1
7,29,Bali,7096,Kab. Gianyar,7097,Ubud,1,1
8,32,Bangka Belitung,7059,Kota Pangkal Pinang,7064,Bukit Intan,1,1
9,32,Bangka Belitung,7059,Kota Pangkal Pinang,7063,Gerunggang,1,1
10,32,Bangka Belitung,7059,Kota Pangkal Pinang,7062,Pangkal Balam,1,1
11,32,Bangka Belitung,7059,Kota Pangkal Pinang,17353,Pangkal Pinang,1,1
12,32,Bangka Belitung,7059,Kota Pangkal Pinang,7061,Rangkui,1,1
13,32,Bangka Belitung,7059,Kota Pangkal Pinang,7060,Taman Sari,1,1
14,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6703,Gedang Sari,1,1
15,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6702,Girisubo,1,1
16,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6701,Karangmojo,1,1
17,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6700,Ngawen,1,1
18,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6699,Nglipar,1,1
19,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6698,Paliyan,1,1
20,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6697,Panggang,1,1
21,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6696,Patuk,1,1
22,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6695,Playen,1,1
23,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6694,Ponjong,1,1
24,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6693,Purwosari,1,1
25,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6692,Rongkop,1,1
26,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6691,Sapto Sari,1,1
27,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6690,Semanu,1,1
28,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6689,Semin,1,1
29,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6688,Tanjungsari,1,1
30,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6687,Tepus,1,1
31,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6686,Wonosari,1,1
32,35,Jawa Barat,6002,Kab. Indramayu,6033,Anjatan,1,1
33,35,Jawa Barat,6002,Kab. Indramayu,6032,Arahan,1,1
34,35,Jawa Barat,6002,Kab. Indramayu,6031,Balongan,1,1
35,35,Jawa Barat,6002,Kab. Indramayu,6030,Bangodua,1,1
36,35,Jawa Barat,6002,Kab. Indramayu,6029,Bongas,1,1
37,35,Jawa Barat,6002,Kab. Indramayu,6028,Cantigi,1,1
38,35,Jawa Barat,6002,Kab. Indramayu,6027,Cikedung,1,1
39,35,Jawa Barat,6002,Kab. Indramayu,6026,Gabuswetan,1,1
40,35,Jawa Barat,6002,Kab. Indramayu,6025,Gantar,1,1
41,35,Jawa Barat,6002,Kab. Indramayu,6024,Haurgeulis,1,1
42,35,Jawa Barat,6002,Kab. Indramayu,6023,Indramayu,1,1
43,35,Jawa Barat,6002,Kab. Indramayu,6022,Jatibarang,1,1
44,35,Jawa Barat,6002,Kab. Indramayu,6021,Juntinyuat,1,1
45,35,Jawa Barat,6002,Kab. Indramayu,17376,Juntiyuat,1,1
46,35,Jawa Barat,6002,Kab. Indramayu,6020,Kandanghaur,1,1
47,35,Jawa Barat,6002,Kab. Indramayu,6019,Karangampel,1,1
48,35,Jawa Barat,6002,Kab. Indramayu,6018,Kedokan Bunder,1,1
49,35,Jawa Barat,6002,Kab. Indramayu,6017,Kertasemaya,1,1
50,35,Jawa Barat,6002,Kab. Indramayu,6016,Krangkeng,1,1
51,35,Jawa Barat,6002,Kab. Indramayu,6015,Kroya,1,1
52,35,Jawa Barat,6002,Kab. Indramayu,6014,Lelea,1,1
53,35,Jawa Barat,6002,Kab. Indramayu,6013,Lohbener,1,1
54,35,Jawa Barat,6002,Kab. Indramayu,6012,Losarang,1,1
55,35,Jawa Barat,6002,Kab. Indramayu,6011,Pasekan,1,1
56,35,Jawa Barat,6002,Kab. Indramayu,6010,Patrol,1,1
57,35,Jawa Barat,6002,Kab. Indramayu,6009,Sindang,1,1
58,35,Jawa Barat,6002,Kab. Indramayu,6008,Sliyeg,1,1
59,35,Jawa Barat,6002,Kab. Indramayu,6007,Sukagumiwang,1,1
60,35,Jawa Barat,6002,Kab. Indramayu,6006,Sukra,1,1
61,35,Jawa Barat,6002,Kab. Indramayu,6005,Trisi/terisi,1,1
62,35,Jawa Barat,6002,Kab. Indramayu,6004,Tukdana,1,1
63,35,Jawa Barat,6002,Kab. Indramayu,6003,Widasari,1,1
64,35,Jawa Barat,5747,Kab. Tasikmalaya,5786,Bantarkalong,1,1
65,35,Jawa Barat,5747,Kab. Tasikmalaya,5785,Bojongasih,1,1
66,35,Jawa Barat,5747,Kab. Tasikmalaya,5784,Bojonggambir,1,1
67,35,Jawa Barat,5747,Kab. Tasikmalaya,5783,Ciawi,1,1
68,35,Jawa Barat,5747,Kab. Tasikmalaya,5782,Cibalong,1,1
69,35,Jawa Barat,5747,Kab. Tasikmalaya,5781,Cigalontang,1,1
70,35,Jawa Barat,5747,Kab. Tasikmalaya,5780,Cikalong,1,1
71,35,Jawa Barat,5747,Kab. Tasikmalaya,5779,Cikatomas,1,1
72,35,Jawa Barat,5747,Kab. Tasikmalaya,5778,Cineam,1,1
73,35,Jawa Barat,5747,Kab. Tasikmalaya,5777,Cipatujah,1,1
74,35,Jawa Barat,5747,Kab. Tasikmalaya,5776,Cisayong,1,1
75,35,Jawa Barat,5747,Kab. Tasikmalaya,5775,Culamega,1,1
76,35,Jawa Barat,5747,Kab. Tasikmalaya,5774,Gunung Tanjung,1,1
77,35,Jawa Barat,5747,Kab. Tasikmalaya,5773,Jamanis,1,1
78,35,Jawa Barat,5747,Kab. Tasikmalaya,5772,Jatiwaras,1,1
79,35,Jawa Barat,5747,Kab. Tasikmalaya,5771,Kadipaten,1,1
80,35,Jawa Barat,5747,Kab. Tasikmalaya,5770,Karang Jaya,1,1
81,35,Jawa Barat,5747,Kab. Tasikmalaya,5769,Karangnunggal,1,1
82,35,Jawa Barat,5747,Kab. Tasikmalaya,5768,Leuwisari,1,1
83,35,Jawa Barat,5747,Kab. Tasikmalaya,5767,Mangunreja,1,1
84,35,Jawa Barat,5747,Kab. Tasikmalaya,5766,Manonjaya,1,1
85,35,Jawa Barat,5747,Kab. Tasikmalaya,5765,Padakembang,1,1
86,35,Jawa Barat,5747,Kab. Tasikmalaya,5764,Pagerageung,1,1
87,35,Jawa Barat,5747,Kab. Tasikmalaya,5763,Pancatengah,1,1
88,35,Jawa Barat,5747,Kab. Tasikmalaya,5762,Parungponteng,1,1
89,35,Jawa Barat,5747,Kab. Tasikmalaya,5761,Puspahiang,1,1
90,35,Jawa Barat,5747,Kab. Tasikmalaya,5760,Rajapolah,1,1
91,35,Jawa Barat,5747,Kab. Tasikmalaya,5759,Salawu,1,1
92,35,Jawa Barat,5747,Kab. Tasikmalaya,5758,Salopa,1,1
93,35,Jawa Barat,5747,Kab. Tasikmalaya,5757,Sariwangi,1,1
94,35,Jawa Barat,5747,Kab. Tasikmalaya,5756,Singaparna,1,1
95,35,Jawa Barat,5747,Kab. Tasikmalaya,5755,Sodonghilir,1,1
96,35,Jawa Barat,5747,Kab. Tasikmalaya,5754,Sukahening,1,1
97,35,Jawa Barat,5747,Kab. Tasikmalaya,5753,Sukaraja,1,1
98,35,Jawa Barat,5747,Kab. Tasikmalaya,5752,Sukarame,1,1
99,35,Jawa Barat,5747,Kab. Tasikmalaya,5751,Sukaratu,1,1
100,35,Jawa Barat,5747,Kab. Tasikmalaya,5750,Sukaresik,1,1
101,35,Jawa Barat,5747,Kab. Tasikmalaya,5749,Tanjungjaya,1,1
102,35,Jawa Barat,5747,Kab. Tasikmalaya,5748,Taraju,1,1
103,46,Jawa Tengah,5656,Kab. Banyumas,5683,Ajibarang,1,1
104,46,Jawa Tengah,5656,Kab. Banyumas,5682,Banyumas,1,1
105,46,Jawa Tengah,5656,Kab. Banyumas,5681,Baturaden,1,1
106,46,Jawa Tengah,5656,Kab. Banyumas,5680,Cilongok,1,1
107,46,Jawa Tengah,5656,Kab. Banyumas,5679,Gumelar,1,1
108,46,Jawa Tengah,5656,Kab. Banyumas,5678,Jatilawang,1,1
109,46,Jawa Tengah,5656,Kab. Banyumas,5677,Kalibagor,1,1
