id_rate_card,fk_rate_card_scheme,origin,id_region,region,id_city,city,id_district,district,shipment_cost_rate,shipment_cost_discount,active
NULL,4,DKI Jakarta,29,Bali,7096,Kab. Gianyar,7103,Belah Batuh (Blahbatuh),23750,NULL,1
NULL,4,DKI Jakarta,29,Bali,7096,Kab. Gianyar,7102,Gianyar,18500,NULL,1
NULL,4,DKI Jakarta,29,Bali,7096,Kab. Gianyar,7101,Payangan,23750,NULL,1
NULL,4,DKI Jakarta,29,Bali,7096,Kab. Gianyar,7100,Sukawati,23750,NULL,1
NULL,4,DKI Jakarta,29,Bali,7096,Kab. Gianyar,7099,Tampak Siring,23750,NULL,1
NULL,4,DKI Jakarta,29,Bali,7096,Kab. Gianyar,7098,Tegal lalang,23750,NULL,1
NULL,4,DKI Jakarta,29,Bali,7096,Kab. Gianyar,7097,Ubud,23750,NULL,1
NULL,4,DKI Jakarta,32,Bangka Belitung,7059,Kota Pangkal Pinang,7064,Bukit Intan,14000,NULL,1
NULL,4,DKI Jakarta,32,Bangka Belitung,7059,Kota Pangkal Pinang,7063,Gerunggang,14000,NULL,1
NULL,4,DKI Jakarta,32,Bangka Belitung,7059,Kota Pangkal Pinang,7062,Pangkal Balam,14000,NULL,1
NULL,4,DKI Jakarta,32,Bangka Belitung,7059,Kota Pangkal Pinang,17353,Pangkal Pinang,14000,NULL,1
NULL,4,DKI Jakarta,32,Bangka Belitung,7059,Kota Pangkal Pinang,7061,Rangkui,14000,NULL,1
NULL,4,DKI Jakarta,32,Bangka Belitung,7059,Kota Pangkal Pinang,7060,Taman Sari,14000,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6703,Gedang Sari,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6702,Girisubo,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6701,Karangmojo,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6700,Ngawen,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6699,Nglipar,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6698,Paliyan,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6697,Panggang,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6696,Patuk,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6695,Playen,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6694,Ponjong,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6693,Purwosari,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6692,Rongkop,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6691,Sapto Sari,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6690,Semanu,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6689,Semin,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6688,Tanjungsari,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6687,Tepus,17750,NULL,1
NULL,4,DKI Jakarta,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6686,Wonosari,13250,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6033,Anjatan,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6032,Arahan,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6031,Balongan,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6030,Bangodua,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6029,Bongas,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6028,Cantigi,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6027,Cikedung,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6026,Gabuswetan,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6025,Gantar,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6024,Haurgeulis,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6023,Indramayu,8000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6022,Jatibarang,8000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6021,Juntinyuat,8000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,17376,Juntiyuat,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6020,Kandanghaur,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6019,Karangampel,11000,NULL,1
NULL,4,DKI Jakarta,35,Jawa Barat,6002,Kab. Indramayu,6018,Kedokan Bunder,11000,NULL,1
