id_shipment_provider,shipment_provider_name,fk_shipment_scheme,bulky_item_lower,bulky_item_upper,volumetric_constant,weight_rounding,shipment_fee_mp_seller_rate,shipment_cost_discount,shipment_cost_vat,pickup_cost,pickup_cost_discount,pickup_cost_vat,insurance_rate,insurance_vat,active
0,NA,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
1,JNE,1,0.17,7,6000,0.3,7000,0,0.01,0,0,0,0.0025,0.1,1
2,REPEX,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
3,FIRST LOGISTICS,1,0.17,7,6000,0,7000,0,0.01,0,0,0,0.0025,0.1,1
6,BIDAKARA TRANSFER,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
7,OUTBOUND QUARANTINE,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
10,SELF PICK UP,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
13,LEX,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
15,DROP SHIPPING,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
16,Customer Pick Up,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
17,PANDU LOGISTICS,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
18,TOLL,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
19,DHL,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
20,FEDEX,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
21,TNT,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
22,DIRECT LINK,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
23,UPS,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
24,Seller Fleet,1,0.17,7,6000,0,7000,0,0.01,0,0,0,0.0025,0.1,1
25,SINGAPORE POST,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
26,JAYON EXPRESS,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
27,PCP,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
28,TIKI,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
29,JNE MP,2,0,7,6000,0.3,7000,0.3,0.01,0,0,0,0.0025,0.1,1
30,Acommerce,2,0,7,6000,0,7000,0,0.01,0,0,0,0.0025,0.1,1
31,AS-dhl-global-mail-asia,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
32,AS-ups,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
33,AS-4px,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
34,AS-china-post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
35,REPEX MP,2,0,7,6000,0,7000,0,0.01,0,0,0,0.0025,0.1,1
36,AS-swiss-post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
37,AS-4PX-Postal-Singpost,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
38,AS-Hong-Kong-Post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
39,AS-Ecargo-Premium,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
40,AS-Ecargo-Economy,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
41,AS-singapore-post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
42,AS-LWE-Express,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
43,AS-korea-post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
44,AS-royal-mail,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
45,AS-postnl-international,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
46,test3pl,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
47,AS-4PX-Postal-China Post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
48,AS-directlink,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
49,AS-LWE-Postal-MY Post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
50,AS-MY Post-Postal-Sunyou,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
51,AS-LWE-Postal-MY Post-API SC,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
52,AS-LWE-Express-API SC,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
53,LEX MP,2,0,7,6000,0,6464,0.2,0.01,1500,0.2,0.01,0.0025,0.1,1
54,AS-LWE-Postal-MY Post-HK sellers,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
55,AS-LWE-Postal-MY Post-CN sellers,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
56,AS-dhl,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
57,AS-postfiji,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
58,AS-MY Post-Postal-ZHY,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
59,AS-JNE,5,0,7,6000,0.3,0,0,0,0,0,0,0,0,1
60,PLATINIUM LOGISTIC,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
61,AS-flytexpress - postal - China Post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
62,AS-flytexpress - postal - SG Post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
63,AS-flytexpress - postal - MY Post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
64,AS-flytexpress - postal - Sweden Post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
65,AS-JNE-non API,5,0,7,6000,0.3,0,0,0,0,0,0,0,0,1
66,AS-China-EMS,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
67,LGS-Tiki-ID,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
68,AS-BEST,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
69,LEX FBL,4,0,7,6000,0,6464,0.2,0.01,0,0,0,0.0025,0.1,1
70,AS-REPEX,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
71,JNE FBL,4,0,7,6000,0.3,7000,0.3,0.01,0,0,0,0.0025,0.1,1
72,AS-FEDEX,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
73,DAKOTA CARGO,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
74,ESL MP,2,0,7,6000,0,7000,0,0.01,0,0,0,0.0025,0.1,1
75,LGS-LEX-ID,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
76,AS-EC-Firstclass,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
77,AS-Taiwan-Post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
78,AS-Thailand-Post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
79,JNE SUB,3,0,7,6000,0.3,0,0,0.01,0,0,0,0.0025,0.1,1
80,LGS-TIKI-ID-HK,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
81,AS-japan-post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
82,JNE MP SUB,2,0,7,6000,0.3,7000,0.3,0.01,0,0,0,0.0025,0.1,1
83,JNE MES,3,0,7,6000,0.3,0,0,0.01,0,0,0,0.0025,0.1,1
84,AS-USPS,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
85,TIKI MES,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
86,Ninja Van,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
87,ETOBEE,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
88,NCS MP,2,0,7,6000,0,7000,0,0.01,0,0,0,0.0025,0.1,1
89,LEX X,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
90,TIKI EXPRESS,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
91,Go-Jek,2,0,7,6000,0,7000,0,0.01,0,0,0,0.0025,0.1,1
92,LGS-LEX-ID-HK,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
