id_free_zone,id_region,region,id_city,city,id_district,district,fk_zone_type,active
NULL,29,Bali,7096,Kab. Gianyar,7103,Belah Batuh (Blahbatuh),1,1
NULL,29,Bali,7096,Kab. Gianyar,7102,Gianyar,1,1
NULL,29,Bali,7096,Kab. Gianyar,7101,Payangan,1,1
NULL,29,Bali,7096,Kab. Gianyar,7100,Sukawati,1,1
NULL,29,Bali,7096,Kab. Gianyar,7099,Tampak Siring,1,1
NULL,29,Bali,7096,Kab. Gianyar,7098,Tegal lalang,1,1
NULL,29,Bali,7096,Kab. Gianyar,7097,Ubud,1,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,7064,Bukit Intan,1,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,7063,Gerunggang,1,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,7062,Pangkal Balam,1,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,17353,Pangkal Pinang,1,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,7061,Rangkui,1,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,7060,Taman Sari,1,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6703,Gedang Sari,1,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6702,Girisubo,1,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6701,Karangmojo,1,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6700,Ngawen,1,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6699,Nglipar,1,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6698,Paliyan,1,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6697,Panggang,1,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6696,Patuk,1,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6695,Playen,1,1
