id_rate_card,fk_rate_card_scheme,origin,id_region,region,id_city,city,id_district,district,rounding,weight_break,flat_rate,shipment_cost_rate,shipment_cost_discount,active
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,545,Medan Tuntungan,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,546,Medan Timur,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,547,Medan Tembung,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,548,Medan Sunggal,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,549,Medan Selayang,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,550,Medan Polonia,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,551,Medan Petisah,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,552,Medan Perjuangan,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,553,Medan Marelan,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,554,Medan Maimun,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,555,Medan Labuhan,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,556,Medan Kota,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,557,Medan Johor,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,558,Medan Helvetia,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,559,Medan Denai,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,560,Medan Deli,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,561,Medan Belawan Kota,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,562,Medan Baru,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,563,Medan Barat,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,564,Medan Area,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,39,Sumatera Utara,544,Kota Medan,565,Medan Amplas,1,999999,210000,30000,NULL,1
NULL,NULL,DKI Jakarta,18,Lampung,3729,Kota Bandar Lampung,3730,Telukbetung Utara,1,999999,133000,19000,NULL,1
NULL,NULL,DKI Jakarta,18,Lampung,3729,Kota Bandar Lampung,3731,Telukbetung Selatan,1,999999,133000,19000,NULL,1
NULL,NULL,DKI Jakarta,18,Lampung,3729,Kota Bandar Lampung,3732,Telukbetung Barat,1,999999,133000,19000,NULL,1
NULL,NULL,DKI Jakarta,18,Lampung,3729,Kota Bandar Lampung,3733,Tanjung Senang,1,999999,133000,19000,NULL,1
NULL,NULL,DKI Jakarta,18,Lampung,3729,Kota Bandar Lampung,3734,Tanjung Karang Timur,1,999999,133000,19000,NULL,1
