id_campaign_tracker,fk_campaign,bob_id_supplier,short_code,seller_name,start_date,end_date,active
NULL,7,949,ID100S4,Watch Market,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,950,ID100S5,Home Retail Shop,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,1294,ID1011Z,Matahari Foto,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,1559,ID1019J,ST-Toms,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,2088,ID101ON,Tomindo,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,2871,ID102C1,koper ID,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,3969,ID1038E,AIUEO Living,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,4398,ID103KN,Kreazzi,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,5056,ID1044G,Cendrawasih,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,5108,ID1045Y,Utama Electronic,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,6800,ID105JA,joubeautyshop,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,9878,ID10828,Unique Bag Store,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,12237,ID109ZM,Alisha Shop,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,14286,ID10BN6,Bosonline,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,17783,ID10EI3,Sentra Kosmetik,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,18751,ID10FAR,nankaitools,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,33607,ID10SF7,GUDANG TUPPERWARE,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,35441,ID10TXL,Harga-Gila,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,50127,ID115X7,Lbagstore2,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,66948,ID11JMT,AIUEO FASHION,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,71915,ID11NOP,My Baby Store,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,7,916,ID100R6,Perfect Beauty,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,7,969,ID100SO,DelCell Store,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,7,1287,ID1011S,Paling Laku,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,7,1375,ID1014A,Babyzania.com,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,7,1492,ID1017M,Kokakaa Home,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,7,1493,ID1017N,Kokakaa,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,7,1691,ID101DB,Calandiva,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,7,1720,ID101E5,Timely Indonesia,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,7,1751,ID101F1,BEST CONNECTIONS KITS,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,7,1893,ID101J3,Kios teknologi,2017-08-21 00:00:00,2017-09-03 23:59:59,1
