id_campaign_tracker,fk_campaign,bob_id_supplier,short_code,seller_name,start_date,end_date,active
NULL,6,808,ID100N3,Studio Tas,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,6,2440,ID101ZP,CPL Photolovers,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,6,4491,ID103NB,MT Collection,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,6,4737,ID103VC,Topaten,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,6,42172,ID10ZEX,Outlet Online,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,6,52205,ID117LK,Bos Baju,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,6,58363,ID11CMI,Sandria Jakarta,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,6,60583,ID11EFY,Ahim Shop,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,6,64826,ID11HX6,Suki,2017-08-14 00:00:00,2017-09-03 23:59:59,1
NULL,6,2742,ID1028C,BGC SHOP,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,3065,ID102HK,Colorbox,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,3260,ID102N5,Marketjamtangan,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,3284,ID102NU,Godric Store,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,3644,ID102Z4,Hagakomputer,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,5558,ID104IT,KaosYES,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,6125,ID10500,rainbow,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,13981,ID10BEG,Surya Gemilang,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,14395,ID10BRA,TYOOLSHOP,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,17598,ID10ECT,CherrySpree,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,21817,ID10HTC,Beau Shop,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,55626,ID11AEB,Mawar88shop,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,58658,ID11CVY,Ellen Grosir,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,59915,ID11DWV,Pluvia Shoes,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,60611,ID11EGR,369shop,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,61193,ID11EYD,mnccosmetic,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,86921,ID120YG,KokaPlay,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,87623,ID121II,Walexa--,2017-08-21 00:00:00,2017-09-03 23:59:59,1
NULL,6,94225,ID126X5,Besties Store,2017-08-21 00:00:00,2017-09-03 23:59:59,1
