id_campaign_tracker,fk_campaign,bob_id_supplier,short_code,seller_name,start_date,end_date,active
NULL,12,741,ID100L6,School & Office Supply,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,817,ID100NC,The Body Shop,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,886,ID100PB,Bose,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,974,ID100SU,Toko TSP,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,1115,ID100WV,Studio Nine,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,1168,ID100YD,Keeve Shoes,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,1440,ID10165,Modern Store,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,1445,ID1016A,JBL Store,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,1681,ID101D1,SPC Store,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,1724,ID101E9,Maspion Store,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,1740,ID101EP,Ridista Online,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,1815,ID101GV,Asiaparts Hardware,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,1824,ID101H4,Olympic Furniture,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,1844,ID101HO,Tigaem,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,2000,ID101M5,GINOMARIANI SHOES,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,2005,ID101MA,Planet Sports,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,2019,ID101MO,JYSK,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,2077,ID101OC,Simbadda,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,2321,ID101WB,Kalibre,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,2335,ID101WP,Juki Household Indonesia,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,2443,ID101ZT,Best Quality 888,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,2527,ID10227,AudioTechnicaStore,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,2648,ID1025N,Maxim,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,2907,ID102D2,DATASCRIP.,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,3054,ID102H9,Soosantai,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,3220,ID102M0,OutdoorStore,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,3482,ID102UH,Exclusive Gain Inc,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,3740,ID1031V,KIDS DEALZ INDONESIA,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,3851,ID10351,TIME TRACK,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,4035,ID103AA,Violand®,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,4073,ID103BD,spreisaputra,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,4783,ID103WN,Evercoss,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,4976,ID10426,Metrox Group,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,5063,ID1044N,Valerie.,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,5301,ID104BG,Polytron,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,6450,ID1059A,IndoGold,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,6922,ID105MS,Kalbe e-Store,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,7415,ID1061V,NUMBER 61 CLOTHING,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,7936,ID106GR,GarudaFood Shop,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,11368,ID1099T,Natasha Skin Clinic Centre,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,11418,ID109B8,MULTIFORTUNA,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,11756,ID109KW,Fabelio,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,12159,ID109XE,Nutrifood Indonesia,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,14355,ID10BP5,ADOLazada,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,15019,ID10C94,BOSCH Official,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,15385,ID10CJK,mothercare & elc,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,15615,ID10CR5,GalaxyofWatches,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,15857,ID10CY2,9to9. online,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,18530,ID10F4F,The Creative Life,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,18540,ID10F4P,character-land.com,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,18751,ID10FAR,nankaitools,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,30432,ID10OUH,AFC Store,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,30665,ID10P15,LEGO,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,35484,ID10TYU,KTS,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,35717,ID10U5H,Philips eStore,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,36776,ID10V0R,Bagus Computer,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,41656,ID10Z06,WATSONS,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,43745,ID110OV,Infinix Indonesia,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,45697,ID112AM,ACHIEVA INDONESIA,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,49135,ID1153V,Tigaem Otomotif,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,51627,ID11752,Xierra Comp,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,51780,ID1179F,L'Oreal Indonesia,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,52211,ID117LR,NYX Professional MakeUp Official Store,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,52212,ID117LS,Garnier Indonesia,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,52213,ID117LT,Maybelline Indonesia,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,54687,ID119MH,Courts,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,58126,ID11CFR,Levi's Strauss ( Anoma ),2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,58718,ID11CXN,Drill & Co.,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,61894,ID11FIE,TOY SHOP ID - Mattel Official Re-seller,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,61898,ID11FII,RayBan-Store,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,62269,ID11FU4,Oakley Store,2017-12-01 00:00:00,9999-12-31 23:59:59,1
NULL,12,78074,ID11TPO,Unilever Official Shop,2017-12-01 00:00:00,9999-12-31 23:59:59,1
