id_campaign_tracker,fk_campaign,bob_id_supplier,short_code,seller_name,start_date,end_date,active
NULL,1,886,ID100PB,Bose,2016-04-11 00:00:00,2016-09-30 23:59:59,1
NULL,1,953,ID100S8,Jocubes,2016-04-17 00:00:00,2016-09-30 23:59:59,1
NULL,1,1071,ID100VL,Suplemenku,2016-04-11 00:00:00,2016-09-30 23:59:59,1
NULL,1,1114,ID100WU,AIUEO,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1122,ID100X2,Razer Store,2016-06-06 00:00:00,2016-09-30 23:59:59,1
NULL,1,1128,ID100X8,Primary original,2016-05-08 00:00:00,2016-09-30 23:59:59,1
NULL,1,1191,ID100Z1,Toko Bagus Indo,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1262,ID10112,Kogara Elektronik,2016-06-06 00:00:00,2016-09-30 23:59:59,1
NULL,1,1265,ID10115,Microlink,2016-04-11 00:00:00,2016-09-30 23:59:59,1
NULL,1,1273,ID1011D,Kenkez,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1290,ID1011V,Keepsmilebaby,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1375,ID1014A,babyzania.com,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1414,ID1015E,TokoSuplemenOnlineku.com,2016-08-19 00:00:00,2016-09-30 23:59:59,1
NULL,1,1445,ID1016A,Audio Outlet,2016-05-08 00:00:00,2016-09-30 23:59:59,1
NULL,1,1476,ID10176,Multi Gadget,2016-03-13 00:00:00,2016-09-30 23:59:59,1
NULL,1,1477,ID10177,Tokocamzone,2016-03-12 00:00:00,2016-09-30 23:59:59,1
NULL,1,1485,ID1017F,Superherbalmania,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1492,ID1017M,Kokakaa Home,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1493,ID1017N,Kokakaa,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1496,ID1017R,Toko Vivan,2016-03-12 00:00:00,2016-09-30 23:59:59,1
NULL,1,1596,ID101AL,KN shop,2016-05-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1635,ID101BP,Clique Corner,2016-07-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1674,ID101CU,Eka Helmet Shop,2016-08-24 00:00:00,2016-09-30 23:59:59,1
NULL,1,1706,ID101DR,OTTEN COFFEE,2016-05-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1707,ID101DS,Proton Technology,2016-06-13 00:00:00,2016-09-30 23:59:59,1
NULL,1,1717,ID101E2,BarandoPC,2016-03-12 00:00:00,2016-09-30 23:59:59,1
NULL,1,1744,ID101EU,Quincy Label,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1791,ID101G6,Protech Comp,2016-05-23 00:00:00,2016-09-30 23:59:59,1
NULL,1,1805,ID101GK,SINAR KOTA,2016-05-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,1893,ID101J3,Kios Teknologi,2016-04-17 00:00:00,2016-09-30 23:59:59,1
NULL,1,1922,ID101JX,Ozoya,2016-03-13 00:00:00,2016-09-30 23:59:59,1
NULL,1,1941,ID101KG,Unicase Store,2016-05-23 00:00:00,2016-09-30 23:59:59,1
NULL,1,1975,ID101LF,Inti Karya,2016-03-12 00:00:00,2016-09-30 23:59:59,1
NULL,1,1987,ID101LS,Super Toys,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,2017,ID101MM,Subur Store,2016-05-30 00:00:00,2016-09-30 23:59:59,1
NULL,1,2034,ID101N4,Thelapak,2016-04-11 00:00:00,2016-09-30 23:59:59,1
NULL,1,2062,ID101NX,First Project Shop,2016-03-20 00:00:00,2016-09-30 23:59:59,1
NULL,1,2132,ID101PX,ANGEL,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,2176,ID101S6,Digital Camera World,2016-08-03 00:00:00,2016-09-30 23:59:59,1
NULL,1,2199,ID101SU,Abadi Jaya,2016-05-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,2246,ID101U6,Plasa Aksesoris,2016-08-03 00:00:00,2016-09-30 23:59:59,1
NULL,1,2287,ID101VC,Little Baby Shop,2016-05-16 00:00:00,2016-09-30 23:59:59,1
NULL,1,2306,ID101VW,iCherry Indonesia,2016-05-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,2325,ID101WF,Funcover,2016-05-30 00:00:00,2016-09-30 23:59:59,1
NULL,1,2342,ID101WX,Toko Accessories,2016-04-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,2354,ID101X9,Mediatama,2016-05-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,2360,ID101XF,KOMPUTER MEDAN,2016-05-01 00:00:00,2016-09-30 23:59:59,1
NULL,1,2366,ID101XL,Tirai Pintu,2016-03-14 00:00:00,2016-09-30 23:59:59,1
NULL,1,2397,ID101YH,Hero,2016-08-31 00:00:00,2016-09-30 23:59:59,1
