id_campaign,campaign,shipment_fee_mp_seller_flat_rate,shipment_fee_mp_seller_rate,insurance_rate,start_date,end_date
0,NA,0,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
1,Insurance Waive,0,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
2,VIP Seller,0,1000,NULL,1900-01-01 00:00:00,2016-11-30 23:59:59
2,VIP Seller,0,2500,NULL,2016-12-01 00:00:00,2017-03-31 23:59:59
2,VIP Seller,0,3500,NULL,2017-04-01 00:00:00,2017-06-30 23:59:59
2,VIP Seller,0,4000,NULL,2017-07-01 00:00:00,9999-12-31 23:59:59
3,Rising Star Program,0,1000,0,1900-01-01 00:00:00,2016-11-30 23:59:59
3,Rising Star Program,0,2500,0,2016-12-01 00:00:00,9999-12-31 23:59:59
4,VIP Seller Exception,0,1000,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
5,Rising Star Program,0,3500,0,2016-12-01 00:00:00,9999-12-31 23:59:59
6,Lazada Prioritas,0,0,0,2017-07-14 00:00:00,9999-12-31 23:59:59
7,Lazada Prioritas - VIP,0,0,0,2017-07-14 00:00:00,9999-12-31 23:59:59
