Tax Class,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,General Commission,Lookup Cat. ID,Lookup Cat. Name,asd
local,Root Category,,,,,,,7.27,1,Root Category,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Water Sports,Boating,,,7.27,3,Boating,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Water Sports,Boating,Inflatable Boats,,7.27,6,Inflatable Boats,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Water Sports,Diving & Snorkeling,,,7.27,37,Diving & Snorkeling,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,,,,7.27,42,Camping & Hiking,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camping Sleeping Gear,Sleeping Bags,,7.27,51,Sleeping Bags,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents,,,7.27,52,Tents,1
local,Root Category,Sports & Outdoors,Racquet Sports,Table Tennis,,,,7.27,84,Table Tennis,1
local,Root Category,Sports & Outdoors,Team Sports,Football,,,,7.27,216,Football,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Cycling,,,,7.27,243,Cycling,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Cycling,Cycling Accessories,Air Pumps,,7.27,245,Air Pumps,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Cycling,Bikes Components & Parts,,,7.27,246,Bikes Components & Parts,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Cycling,Cycling Accessories,,,7.27,247,Cycling Accessories,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Cycling,Bikes,Hybrid Bikes,,7.27,249,Hybrid Bikes,1
local,Root Category,Sports & Outdoors,Outdoor Recreation,Cycling,Bikes,Mountain Bikes,,7.27,250,Mountain Bikes,1
local,Root Category,Sports & Outdoors,Racquet Sports,Badminton,,,,7.27,311,Badminton,1
local,Root Category,Travel & Luggage,,,,,,7.27,332,Travel & Luggage,1
local,Root Category,Fashion,Fashion Accessories,Bags,Business Bags & Briefcases,Messenger Bags,,7.27,343,Messenger Bags,1
local,Root Category,Fashion,Fashion Accessories,Bags,Business Bags & Briefcases,Computer (Laptop/Tablet) Cases,,7.27,344,Computer (Laptop/Tablet) Cases,1
local,Root Category,Fashion,Fashion Accessories,Bags,Business Bags & Briefcases,Briefcases,,7.27,345,Briefcases,1
local,Root Category,Travel & Luggage,Luggage,,,,,7.27,354,Luggage,1
local,Root Category,Fashion,Women,Clothing,Tops,,,7.27,2626,Tops,1
local,Root Category,Fashion,Women,Clothing,Tops,Tanks & Camisoles,,7.27,2629,Tanks & Camisoles,1
local,Root Category,Fashion,Women,Clothing,Tops,T-Shirts,,7.27,2631,T-Shirts,1
local,Root Category,Travel & Luggage,Travel Accessories,,,,,7.27,2673,Travel Accessories,1
local,Root Category,Sports & Outdoors,Exercise & Fitness,Pilates,,,,7.27,2722,Pilates,1
local,Root Category,"Media, Music & Books",Musical Instruments,,,,,2.27,2728,Musical Instruments,1
local,Root Category,"Media, Music & Books",Books,,,,,7.27,2734,Books,1
