id_charges_scheme,shipment_scheme,is_marketplace,pickup_provider_type,first_shipment_provider,rate_card_scheme,rounding_3pl,rounding_seller,shipment_fee_mp_seller_flat_rate,shipment_fee_mp_seller_rate,pickup_fee_rate,pickup_fee_discount,pickup_fee_vat,delivery_cost_rate_vat,start_date,end_date
1,DEFAULT,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
2,DIGITAL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
3,CROSS BORDER,NULL,NULL,NULL,CB,0,0,0,0,0,0,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
4,GO-JEK,0,NULL,NULL,LEL,0,0,0,0,0,0,0,0,1900-01-01 00:00:00,2017-07-31 23:59:59
5,GO-JEK,0,NULL,NULL,LEL,0.3,0,0,0,0,0,0,0,2017-08-01 00:00:00,9999-12-31 23:59:59
6,GO-JEK,1,LEX,NULL,LEL,0,0.3,0,7000,0,0,0,0,1900-01-01 00:00:00,2017-07-31 23:59:59
7,GO-JEK,1,NULL,NULL,LEL,0,0.3,0,7000,0,0,0,0,1900-01-01 00:00:00,2017-07-31 23:59:59
8,GO-JEK,1,LEX,NULL,LEL,0.3,0.3,5000,0,0,0,0,0,2017-08-01 00:00:00,2017-09-03 23:59:59
9,GO-JEK,1,NULL,NULL,LEL,0.3,0.3,5000,0,0,0,0,0,2017-08-01 00:00:00,2017-09-03 23:59:59
10,GO-JEK,1,LEX,NULL,LEL,0.3,0.3,0,6500,0,0,0,0,2017-09-04 00:00:00,2017-11-30 23:59:59
11,GO-JEK,1,NULL,NULL,LEL,0.3,0.3,0,7000,0,0,0,0,2017-09-04 00:00:00,2017-11-30 23:59:59
12,GO-JEK,1,LEX,NULL,LEL,0.3,0.3,0,0,0,0,0,0,2017-12-01 00:00:00,9999-12-31 23:59:59
13,GO-JEK,1,NULL,NULL,LEL,0.3,0.3,0,0,0,0,0,0,2017-12-01 00:00:00,9999-12-31 23:59:59
14,GO-JEK DIRECT BILLING,1,NULL,NULL,GO-JEK,0.3,0.3,0,7000,0,0,0,0,1900-01-01 00:00:00,2017-07-31 23:59:59
15,GO-JEK DIRECT BILLING,1,NULL,NULL,GO-JEK,0.3,0.3,5000,0,0,0,0,0,2017-08-01 00:00:00,2017-09-03 23:59:59
16,GO-JEK DIRECT BILLING,1,NULL,NULL,GO-JEK,0.3,0.3,0,7000,0,0,0,0,2017-09-04 00:00:00,2017-11-30 23:59:59
17,GO-JEK DIRECT BILLING,1,NULL,NULL,GO-JEK,0.3,0.3,0,0,0,0,0,0,2017-12-01 00:00:00,9999-12-31 23:59:59
18,GO-JEK FBL,1,LEX,NULL,LEL,0,0.3,0,6000,0,0,0,0,2017-07-01 00:00:00,2017-07-31 23:59:59
19,GO-JEK FBL,1,NULL,NULL,LEL,0,0.3,0,6500,0,0,0,0,2017-07-01 00:00:00,2017-07-31 23:59:59
20,GO-JEK FBL,1,LEX,NULL,LEL,0.3,0.3,5000,0,0,0,0,0,2017-08-01 00:00:00,2017-09-03 23:59:59
21,GO-JEK FBL,1,NULL,NULL,LEL,0.3,0.3,5000,0,0,0,0,0,2017-08-01 00:00:00,2017-09-03 23:59:59
22,GO-JEK FBL,1,LEX,NULL,LEL,0.3,0.3,0,6500,0,0,0,0,2017-09-04 00:00:00,2017-11-30 23:59:59
23,GO-JEK FBL,1,NULL,NULL,LEL,0.3,0.3,0,7000,0,0,0,0,2017-09-04 00:00:00,2017-11-30 23:59:59
24,GO-JEK FBL,1,LEX,NULL,LEL,0.3,0.3,0,0,0,0,0,0,2017-12-01 00:00:00,9999-12-31 23:59:59
25,GO-JEK FBL,1,NULL,NULL,LEL,0.3,0.3,0,0,0,0,0,0,2017-12-01 00:00:00,9999-12-31 23:59:59
26,EXPRESS,0,NULL,NULL,LEL,0,0,0,0,0,0,0,0,1900-01-01 00:00:00,2017-07-31 23:59:59
27,EXPRESS,0,NULL,NULL,LEL,0.3,0,0,0,0,0,0,0,2017-08-01 00:00:00,9999-12-31 23:59:59
28,EXPRESS,1,LEX,NULL,LEL,0,0.3,0,7000,1500,0.2,0.01,0.01,1900-01-01 00:00:00,2017-07-31 23:59:59
29,EXPRESS,1,NULL,NULL,LEL,0,0.3,0,7000,0,0,0,0,1900-01-01 00:00:00,2017-07-31 23:59:59
30,EXPRESS,1,LEX,NULL,LEL,0.3,0.3,5000,0,1500,0.2,0.01,0.01,2017-08-01 00:00:00,2017-09-03 23:59:59
31,EXPRESS,1,NULL,NULL,LEL,0.3,0.3,5000,0,0,0,0,0,2017-08-01 00:00:00,2017-09-03 23:59:59
32,EXPRESS,1,LEX,NULL,LEL,0.3,0.3,0,6500,1500,0.2,0.01,0.01,2017-09-04 00:00:00,2017-11-30 23:59:59
33,EXPRESS,1,NULL,NULL,LEL,0.3,0.3,0,7000,0,0,0,0,2017-09-04 00:00:00,2017-11-30 23:59:59
34,EXPRESS,1,LEX,NULL,LEL,0.3,0.3,0,0,1500,0.2,0.01,0.01,2017-12-01 00:00:00,9999-12-31 23:59:59
35,EXPRESS,1,NULL,NULL,LEL,0.3,0.3,0,0,0,0,0,0,2017-12-01 00:00:00,9999-12-31 23:59:59
36,EXPRESS DIRECT BILLING,1,NULL,NULL,JNE,0.3,0.3,0,7000,0,0,0,0,1900-01-01 00:00:00,2017-07-31 23:59:59
37,EXPRESS DIRECT BILLING,1,NULL,NULL,JNE,0.3,0.3,5000,0,0,0,0,0,2017-08-01 00:00:00,2017-09-03 23:59:59
