id_insurance_scheme,shipment_scheme,type,is_marketplace,min_unit_price,max_unit_price,insurance_rate,insurance_rate_vat,start_date,end_date
NULL,FBL,seller,1,0,500000,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,MASTER ACCOUNT,seller,1,0,500000,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,EXPRESS,seller,1,0,500000,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,EXPRESS FBL,seller,1,0,500000,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,FBL,seller,1,500000,NULL,0.0025,0.1,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,MASTER ACCOUNT,seller,1,500000,NULL,0.0025,0.1,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,EXPRESS,seller,1,500000,NULL,0.0025,0.1,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,EXPRESS FBL,seller,1,500000,NULL,0.0025,0.1,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,RETAIL,3pl,NULL,0,500000,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,FBL,3pl,NULL,0,500000,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,MASTER ACCOUNT,3pl,NULL,0,500000,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,EXPRESS,3pl,NULL,0,500000,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,EXPRESS FBL,3pl,NULL,0,500000,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,RETAIL,3pl,NULL,500000,NULL,0.0025,0.1,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,FBL,3pl,NULL,500000,NULL,0.0025,0.1,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,MASTER ACCOUNT,3pl,NULL,500000,NULL,0.0025,0.1,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,EXPRESS,3pl,NULL,500000,NULL,0.0025,0.1,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,EXPRESS FBL,3pl,NULL,500000,NULL,0.0025,0.1,1900-01-01 00:00:00,9999-12-31 23:59:59
