id_shipping_fee_rate_card_kg,origin,leadtime,destination_zone,rounding,weight_break,flat_rate,step_rate,is_live
7927708,"Cross Border",Standard,1001,1.00,6999.00,0.00,0.00,1
7927709,"Cross Border",Standard,1001,1.00,999999.00,0.00,0.00,1
7927710,"Cross Border",Standard,1002,1.00,6999.00,0.00,0.00,1
7927711,"Cross Border",Standard,1002,1.00,999999.00,0.00,0.00,1
7927712,"Cross Border",Standard,1003,1.00,6999.00,0.00,0.00,1
7927713,"Cross Border",Standard,1003,1.00,999999.00,0.00,0.00,1
7927714,"Cross Border",Standard,1004,1.00,6999.00,0.00,0.00,1
7927715,"Cross Border",Standard,1004,1.00,999999.00,0.00,0.00,1
7927716,"Cross Border",Standard,1005,1.00,6999.00,0.00,0.00,1
7927717,"Cross Border",Standard,1005,1.00,999999.00,0.00,0.00,1
7927718,"Cross Border",Standard,1006,1.00,6999.00,0.00,0.00,1
7927719,"Cross Border",Standard,1006,1.00,999999.00,0.00,0.00,1
7927720,"Cross Border",Standard,1007,1.00,6999.00,0.00,0.00,1
7927721,"Cross Border",Standard,1007,1.00,999999.00,0.00,0.00,1
7927722,"Cross Border",Standard,1008,1.00,6999.00,0.00,0.00,1
7927723,"Cross Border",Standard,1008,1.00,999999.00,0.00,0.00,1
7927724,"Cross Border",Standard,1009,1.00,6999.00,0.00,0.00,1
7927725,"Cross Border",Standard,1009,1.00,999999.00,0.00,0.00,1
7927726,"Cross Border",Standard,1010,1.00,6999.00,0.00,0.00,1
7927727,"Cross Border",Standard,1010,1.00,999999.00,0.00,0.00,1
7927728,"Cross Border",Standard,1012,1.00,6999.00,0.00,0.00,1
7927729,"Cross Border",Standard,1012,1.00,999999.00,0.00,0.00,1
7927730,"Cross Border",Standard,1013,1.00,6999.00,0.00,0.00,1
7927731,"Cross Border",Standard,1013,1.00,999999.00,0.00,0.00,1
7927732,"Cross Border",Standard,1014,1.00,6999.00,0.00,0.00,1
7927733,"Cross Border",Standard,1014,1.00,999999.00,0.00,0.00,1
7927734,"Cross Border",Standard,1015,1.00,6999.00,0.00,0.00,1
7927735,"Cross Border",Standard,1015,1.00,999999.00,0.00,0.00,1
7927736,"Cross Border",Standard,1016,1.00,6999.00,0.00,0.00,1
7927737,"Cross Border",Standard,1016,1.00,999999.00,0.00,0.00,1
7927738,"Cross Border",Standard,1017,1.00,6999.00,0.00,0.00,1
7927739,"Cross Border",Standard,1017,1.00,999999.00,0.00,0.00,1
7927740,"Cross Border",Standard,1019,1.00,6999.00,0.00,0.00,1
7927741,"Cross Border",Standard,1019,1.00,999999.00,0.00,0.00,1
7927742,"Cross Border",Standard,1020,1.00,6999.00,0.00,0.00,1
7927743,"Cross Border",Standard,1020,1.00,999999.00,0.00,0.00,1
7927744,"Cross Border",Standard,1021,1.00,6999.00,0.00,0.00,1
7927745,"Cross Border",Standard,1021,1.00,999999.00,0.00,0.00,1
7927746,"Cross Border",Standard,1022,1.00,6999.00,0.00,0.00,1
7927747,"Cross Border",Standard,1022,1.00,999999.00,0.00,0.00,1
7927748,"Cross Border",Standard,1023,1.00,6999.00,0.00,0.00,1
7927749,"Cross Border",Standard,1023,1.00,999999.00,0.00,0.00,1
7927750,"Cross Border",Standard,1024,1.00,6999.00,0.00,0.00,1
7927751,"Cross Border",Standard,1024,1.00,999999.00,0.00,0.00,1
7927752,"Cross Border",Standard,1025,1.00,6999.00,0.00,0.00,1
7927753,"Cross Border",Standard,1025,1.00,999999.00,0.00,0.00,1
7927754,"Cross Border",Standard,1026,1.00,6999.00,0.00,0.00,1
7927755,"Cross Border",Standard,1026,1.00,999999.00,0.00,0.00,1
7927756,"Cross Border",Standard,1027,1.00,6999.00,0.00,0.00,1
7927757,"Cross Border",Standard,1027,1.00,999999.00,0.00,0.00,1
7927758,"Cross Border",Standard,1028,1.00,6999.00,0.00,0.00,1
7927759,"Cross Border",Standard,1028,1.00,999999.00,0.00,0.00,1
7927760,"Cross Border",Standard,1029,1.00,6999.00,0.00,0.00,1
7927761,"Cross Border",Standard,1029,1.00,999999.00,0.00,0.00,1
7927762,"Cross Border",Standard,1030,1.00,6999.00,0.00,0.00,1
7927763,"Cross Border",Standard,1030,1.00,999999.00,0.00,0.00,1
7927764,"Cross Border",Standard,1031,1.00,6999.00,0.00,0.00,1
7927765,"Cross Border",Standard,1031,1.00,999999.00,0.00,0.00,1
7927766,"Cross Border",Standard,1032,1.00,6999.00,0.00,0.00,1
7927767,"Cross Border",Standard,1032,1.00,999999.00,0.00,0.00,1
7927768,"Cross Border",Standard,1033,1.00,6999.00,0.00,0.00,1
7927769,"Cross Border",Standard,1033,1.00,999999.00,0.00,0.00,1
7927770,"Cross Border",Standard,1034,1.00,6999.00,0.00,0.00,1
7927771,"Cross Border",Standard,1034,1.00,999999.00,0.00,0.00,1
7927772,"Cross Border",Standard,1035,1.00,6999.00,0.00,0.00,1
7927773,"Cross Border",Standard,1035,1.00,999999.00,0.00,0.00,1
7927774,"Cross Border",Standard,1037,1.00,6999.00,0.00,0.00,1
7927775,"Cross Border",Standard,1037,1.00,999999.00,0.00,0.00,1
7927776,"Cross Border",Standard,1038,1.00,6999.00,0.00,0.00,1
7927777,"Cross Border",Standard,1038,1.00,999999.00,0.00,0.00,1
7927778,"Cross Border",Standard,1039,1.00,6999.00,0.00,0.00,1
7927779,"Cross Border",Standard,1039,1.00,999999.00,0.00,0.00,1
7927780,"Cross Border",Standard,1040,1.00,6999.00,0.00,0.00,1
7927781,"Cross Border",Standard,1040,1.00,999999.00,0.00,0.00,1
7927782,"Cross Border",Standard,1041,1.00,6999.00,0.00,0.00,1
7927783,"Cross Border",Standard,1041,1.00,999999.00,0.00,0.00,1
7927784,"Cross Border",Standard,1042,1.00,6999.00,0.00,0.00,1
7927785,"Cross Border",Standard,1042,1.00,999999.00,0.00,0.00,1
7927786,"Cross Border",Standard,1043,1.00,6999.00,0.00,0.00,1
7927787,"Cross Border",Standard,1043,1.00,999999.00,0.00,0.00,1
7927788,"Cross Border",Standard,1044,1.00,6999.00,0.00,0.00,1
7927789,"Cross Border",Standard,1044,1.00,999999.00,0.00,0.00,1
7927790,"Cross Border",Standard,1045,1.00,6999.00,0.00,0.00,1
7927791,"Cross Border",Standard,1045,1.00,999999.00,0.00,0.00,1
7927792,"Cross Border",Standard,1046,1.00,6999.00,0.00,0.00,1
7927793,"Cross Border",Standard,1046,1.00,999999.00,0.00,0.00,1
7927794,"Cross Border",Standard,1047,1.00,6999.00,0.00,0.00,1
7927795,"Cross Border",Standard,1047,1.00,999999.00,0.00,0.00,1
7927796,"Cross Border",Standard,1048,1.00,6999.00,0.00,0.00,1
7927797,"Cross Border",Standard,1048,1.00,999999.00,0.00,0.00,1
7927798,"Cross Border",Standard,1049,1.00,6999.00,0.00,0.00,1
7927799,"Cross Border",Standard,1049,1.00,999999.00,0.00,0.00,1
7927800,"Cross Border",Standard,1050,1.00,6999.00,0.00,0.00,1
7927801,"Cross Border",Standard,1050,1.00,999999.00,0.00,0.00,1
7927802,"Cross Border",Standard,1051,1.00,6999.00,0.00,0.00,1
7927803,"Cross Border",Standard,1051,1.00,999999.00,0.00,0.00,1
7927804,"Cross Border",Standard,1052,1.00,6999.00,0.00,0.00,1
7927805,"Cross Border",Standard,1052,1.00,999999.00,0.00,0.00,1
7927806,"Cross Border",Standard,1053,1.00,6999.00,0.00,0.00,1
7927807,"Cross Border",Standard,1053,1.00,999999.00,0.00,0.00,1
7927808,"Cross Border",Standard,1054,1.00,6999.00,0.00,0.00,1
7927809,"Cross Border",Standard,1054,1.00,999999.00,0.00,0.00,1
7927810,"Cross Border",Standard,1055,1.00,6999.00,0.00,0.00,1
7927811,"Cross Border",Standard,1055,1.00,999999.00,0.00,0.00,1
