id_shipment_scheme,shipment_scheme,tax_class,delivery_type,first_shipment_provider,last_shipment_provider,is_marketplace,shipping_type,exclude_payment_method,exclude_shipment_provider,shipping_fee_credit,start_date,end_date
1,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,0,DEFAULT,DEFAULT,DEFAULT,0,1900-01-01 00:00:00,9999-12-31 23:59:59
2,DIGITAL,NULL,digital,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
3,DIGITAL,NULL,NULL,Digital Delivery,NULL,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
4,DIGITAL,NULL,NULL,NULL,Digital Delivery,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
5,CROSS BORDER,international,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
6,GO-JEK DIRECT BILLING,local,express,NULL,Go-Jek,1,NULL,NULL,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
7,GO-JEK DIRECT BILLING,local,nextday,NULL,Go-Jek,1,NULL,NULL,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
8,GO-JEK DIRECT BILLING,local,sameday,NULL,Go-Jek,1,NULL,NULL,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
9,GO-JEK FBL,NULL,express,NULL,Go-Jek,1,warehouse,NULL,NULL,NULL,2017-07-01 00:00:00,9999-12-31 23:59:59
10,GO-JEK FBL,NULL,nextday,NULL,Go-Jek,1,warehouse,NULL,NULL,NULL,2017-07-01 00:00:00,9999-12-31 23:59:59
11,GO-JEK FBL,NULL,sameday,NULL,Go-Jek,1,warehouse,NULL,NULL,NULL,2017-07-01 00:00:00,9999-12-31 23:59:59
12,GO-JEK,NULL,express,NULL,Go-Jek,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
13,GO-JEK,NULL,nextday,NULL,Go-Jek,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
14,GO-JEK,NULL,sameday,NULL,Go-Jek,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
15,EXPRESS DIRECT BILLING,local,express,NULL,NULL,1,NULL,NULL,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
16,EXPRESS DIRECT BILLING,local,nextday,NULL,NULL,1,NULL,NULL,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
17,EXPRESS DIRECT BILLING,local,sameday,NULL,NULL,1,NULL,NULL,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
18,EXPRESS FBL,NULL,express,NULL,NULL,1,warehouse,NULL,NULL,NULL,2017-07-01 00:00:00,9999-12-31 23:59:59
19,EXPRESS FBL,NULL,nextday,NULL,NULL,1,warehouse,NULL,NULL,NULL,2017-07-01 00:00:00,9999-12-31 23:59:59
20,EXPRESS FBL,NULL,sameday,NULL,NULL,1,warehouse,NULL,NULL,NULL,2017-07-01 00:00:00,9999-12-31 23:59:59
21,EXPRESS,NULL,express,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
22,EXPRESS,NULL,nextday,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
23,EXPRESS,NULL,sameday,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
24,RETAIL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1900-01-01 00:00:00,9999-12-31 23:59:59
25,DIRECT BILLING,local,NULL,NULL,NULL,1,NULL,NULL,NULL,0,1900-01-01 00:00:00,9999-12-31 23:59:59
