id_tier_mapping,id_region,region,id_city,city,id_district,district,tier,active
NULL,29,Bali,7096,Kab. Gianyar,7103,Belah Batuh (Blahbatuh),Tier 3,1
NULL,29,Bali,7096,Kab. Gianyar,7102,Gianyar,Tier 3,1
NULL,29,Bali,7096,Kab. Gianyar,7101,Payangan,Tier 3,1
NULL,29,Bali,7096,Kab. Gianyar,7100,Sukawati,Tier 3,1
NULL,29,Bali,7096,Kab. Gianyar,7099,Tampak Siring,Tier 3,1
NULL,29,Bali,7096,Kab. Gianyar,7098,Tegal lalang,Tier 3,1
NULL,29,Bali,7096,Kab. Gianyar,7097,Ubud,Tier 3,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,7064,Bukit Intan,Others,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,7063,Gerunggang,Others,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,7062,Pangkal Balam,Others,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,17353,Pangkal Pinang,Others,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,7061,Rangkui,Others,1
NULL,32,Bangka Belitung,7059,Kota Pangkal Pinang,7060,Taman Sari,Others,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6703,Gedang Sari,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6702,Girisubo,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6701,Karangmojo,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6700,Ngawen,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6699,Nglipar,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6698,Paliyan,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6697,Panggang,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6696,Patuk,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6695,Playen,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6694,Ponjong,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6693,Purwosari,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6692,Rongkop,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6691,Sapto Sari,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6690,Semanu,Tier 3,1
NULL,19,Di Yogyakarta,6685,Kab. Gunung Kidul,6689,Semin,Tier 3,1
