threshold_order,total_unit_price,total_paid_price,nmv,total_so,total_pck,total_soi,aov,total_shipping_surcharge,total_shipping_amount,total_delivery_cost,total_shipment_fee_mp_seller,net_subsidy
100000,4957290740.3300,4914541830.8700,4662937780.10909091,58923,61252,75113,84131.67592163,19394697.97818182,170062545.58363636,814804606.1063,341974889.7200,1346236739.38811818
150000,7750091207.5100,7676295153.1300,7276666114.41818182,66475,73766,96090,116586.55445671,63001756.42090909,234096909.07090909,1169213232.9888,448884484.6766,1915196383.15721818
200000,6748481312.8200,6592803375.1800,6181320193.88181818,39671,46160,60479,170111.19741927,80531836.23636364,110100500.06000000,795968502.7660,275778735.0528,1262379574.11516364
250000,4424051210.1500,4300533372.1400,4043114620.18181818,20482,24804,33643,215997.03203545,74967352.41636364,66596318.24090909,500805663.2837,159689702.1254,802059036.06637273
30000,700468749.3000,387300886.2100,729097784.64545455,23379,22518,24533,29961.45041704,447836.36363636,119203909.44636364,199348711.8340,105670333.9605,424670791.60450000
300000,3562436603.8400,3490885406.7800,3276812186.53636364,13764,17178,23718,258822.76982273,60597773.07090909,45870363.59636364,352584405.3637,118877261.1810,577929803.21197273
350000,2255026293.8700,2222723961.2700,2097033502.15454545,7461,9832,14155,302241.83003217,46150085.16272727,31246000.01000000,217461213.4637,69602347.7397,364459646.37612727
400000,2163017568.9200,2070407251.9400,1956417745.96363636,6047,7819,12227,357700.93747643,42667932.85181818,22969636.33363636,178011432.2290,55263887.2760,298912888.69045455
50000,2185499634.4700,2145887315.5800,2186611404.14545455,61387,60057,67946,35601.99446902,2602268.21272727,225468107.54727273,596462221.3632,305340053.7209,1129872650.84410000
500000,2107216031.9700,2089228931.8500,1972331754.00000000,5219,7417,11146,403758.58056524,52171154.05727273,24024727.30272727,188730209.1988,55605573.3243,320531663.88310000
75000,4991751046.0300,4951297663.2300,4751388239.23636364,86125,86708,104753,57959.37353881,8129840.45000000,235540303.80909091,1083780743.0848,461477083.4764,1788927970.82029091
">= 500000",61420168882.8700,60781764810.3400,55663802667.82727273,35181,41669,62166,1745833.51476280,337113628.04181818,65079000.01000000,1128748680.4597,297319661.9873,1828260970.49881818
CB,10270494202.5400,10203999843.0800,9314496360.19090909,67964,72367,82922,151116.68239862,42300.00000000,302000.00000000,0.0000,0.0000,344300.00000000
