id_supplier,short_code,name
744,ID100L9,"Electronic Solution"
773,ID100M3,"DTC Datacomindo"
858,ID100OI,INDOKOM
1009,ID100TU,"Adore Shop"
1075,ID100VP,"My Gadget Needs"
1114,ID100WU,AIUEO
1156,ID100Y1,"Channel B"
1186,ID100YW,"Viva Tehnik Mandiri"
1191,ID100Z1,"Toko Bagus Indo"
1291,ID1011W,Babylonish
1321,ID1012R,"Dane And Dine"
1406,ID10156,"PX Store"
1445,ID1016A,"JBL Store"
1560,ID1019K,"TP-LINK Store"
1621,ID101BB,Luxolite
1718,ID101E3,bateraijogja
1758,ID101F8,GlobalNetLive
1797,ID101GC,Homeland
1862,ID101I7,"Michael Hobby Shop"
1907,ID101JH,Ramsons
1954,ID101KU,"Alfalink Store"
1957,ID101KX,"Start Game"
1958,ID101KY,Pavilion
2000,ID101M5,"GINOMARIANI SHOES"
2009,ID101ME,Baglis
2045,ID101NF,Belimasbro
2050,ID101NK,Kimibaby
2062,ID101NX,"First Project Shop"
2105,ID101P5,JACC
2156,ID101RL,"King Jewelry"
2171,ID101S1,"Yenny Shop"
2199,ID101SU,"Abadi Jaya"
2218,ID101TD,SPENS
2238,ID101TY,iBuy
2263,ID101UN,"Menthol Store"
2276,ID101V1,"OWL Shop"
2306,ID101VW,"iCherry Indonesia"
2311,ID101W1,YenzShop
2359,ID101XE,"CKE Online"
2366,ID101XL,"Tirai Pintu"
2481,ID1020W,"Jason Baby Shop"
2502,ID1021H,Flanelade
2546,ID1022R,"First Bag Organizer"
2570,ID1023F,Babyklik
2595,ID10245,HBCOM
2733,ID10283,"Inini Shop"
2742,ID1028C,"BGC SHOP"
2838,ID102B3,Kopisidikalang
2842,ID102B7,"Elli Jewelry"
2860,ID102BP,"Coverta Bedding"
2936,ID102DW,"Ease Store"
2961,ID102EL,COOKSHABIT
3033,ID102GN,"3G MEDIA"
3065,ID102HK,Colorbox
3123,ID102J8,"Fancy Beauties"
3130,ID102JF,MedanWatch
3181,ID102KW,"Shanas Shop"
3307,ID102OH,"Graha FE"
3311,ID102OL,"Electronics Warehouse"
3312,ID102OM,"SUNLIGHT SPORTS"
3328,ID102P3,"CX Shop"
3400,ID102S5,BFIT
3401,ID102S6,KAMARMANDIKU
3418,ID102SN,"Price Promo"
3543,ID102W8,"Zahra Acc"
3598,ID102XT,"Yusuf Computer"
3615,ID102YA,"Honey Berry"
3740,ID1031V,"KIDS DEALZ INDONESIA"
3771,ID1032R,Heavencase
3778,ID1032Y,"Simply Skin"
3803,ID1033N,FERRIKA
3836,ID1034L,Lukisanku
4057,ID103AX,"LW sportwear"
4073,ID103BD,spreisaputra
4101,ID103C6,Pokiegold
4108,ID103CD,"Souvenir Online"
4156,ID103DR,"Camera Equipment Store"
4164,ID103DZ,MORE584
4274,ID103H4,BonBon
4328,ID103IN,MAO
4372,ID103JX,"Mitra Elek"
4404,ID103KU,BalitaKita
4413,ID103L3,"Graver Furniture"
4437,ID103LS,Glodok123
4580,ID103PV,"Wafi Bebe"
4641,ID103SL,Produkkita
4694,ID103U4,"Underwear Branded"
4705,ID103UF,"Jason Variasi Shop"
4742,ID103VH,"Glossy Store"
4954,ID1041J,"SIGMA COMP"
4966,ID1041W,Spicegift
5032,ID1043S,DAKISHOP
5120,ID1046A,"Meyliem Jaya"
5249,ID1049Z,GaleriTasik
5402,ID104EC,Cololite
5514,ID104HJ,NHCPStore
5554,ID104IO,"Plaza Bangunan"
5629,ID104KU,"Sinergi Digital"
5630,ID104KV,"Dain Kosmetik"
5713,ID104N8,"GALLERY NOMOR CANTIK"
5716,ID104NB,TRUEOLSHOP
5768,ID104OT,i-Acc
5797,ID104PM,"Two Gems cloth"
5813,ID104R3,"TED's AUTOHOUSE"
5893,ID104TD,Cressida
