id_supplier,short_code,name
936,ID100RR,3Berryshop
978,ID100SY,"Jam Originalku"
1045,ID100UV,Funika
1228,ID10103,D-Island
1268,ID10118,"Good Spot"
1481,ID1017B,"DE L'IMPRIMANTE"
1485,ID1017F,Superherbalmania
1505,ID10180,"My utensils"
1535,ID1018V,Kiosherbalku
1609,ID101AZ,"Gadget Holics"
1706,ID101DR,"OTTEN COFFEE"
1923,ID101JY,HAPPYBEARBABYSHOP
1987,ID101LS,"Super Toys"
2001,ID101M6,Datapro
2182,ID101SC,"Nandhut Outlet"
2429,ID101ZE,E-Store
2491,ID10216,Dimaxx
2521,ID10221,"sleep well"
2602,ID1024C,"Glory Home"
2648,ID1025N,Maxim
2753,ID1028N,"Lucky Star"
2903,ID102CY,DECTIONS
2962,ID102EM,BEAUTYnHEALTH
3032,ID102GM,"We Love Skincare Indonesia"
3084,ID102I4,"Buana Elektrik"
3169,ID102KJ,"Daily Needs Store"
3244,ID102MO,"Elfs Shop"
3322,ID102OX,GoShop
3435,ID102T5,"United Sport"
3690,ID1030F,Multishop
3767,ID1032M,Dotstoyland
3950,ID1037V,"Meteor Cellular"
4188,ID103EN,Mifornire
4511,ID103NW,"Home Shopping Online"
4599,ID103RE,"Mesin Jahit - SJS"
4661,ID103T6,"New Age"
4716,ID103UR,"Jam Tangan Flash"
4719,ID103UU,"Aego Power"
4738,ID103VD,moganics
4862,ID103YX,"Microstar Computer"
4971,ID10421,Hanadora
5106,ID1045W,Sjhop
5122,ID1046C,"Damura Grosir"
5150,ID10475,"H2 Cell"
5225,ID1049A,Ofashion
5535,ID104I5,FANCY
5788,ID104PD,Viva23
6054,ID104XZ,"Simpati Furniture"
6056,ID104Y1,"KOREA FURNITURE STORE"
6110,ID104ZK,"Dunia Legging"
6150,ID1050P,PDAJAKARTA
6293,ID1054T,nomorcantikspesial
6346,ID1056B,"INDO CAMERA BAG"
6450,ID1059A,IndoGold
6526,ID105BG,Beauty888
7147,ID105U7,cantiq
7320,ID105Z5,teguhjayaelektronik
7372,ID1060M,"PROBOSCIS POMADE SHOP"
7720,ID106AK,"Fesyen Zone"
7997,ID106IH,"Bintang Abadi"
8043,ID106JT,"BEAU ­ MY BEAUTY SHOP"
8262,ID106R2,Frozenshop.com
8650,ID10725,"House Of Organix"
8760,ID1075A,"City Shoppe"
9083,ID107EI,"Bibit Bunga"
9492,ID107R7,"AER Sanitary Indonesia"
10029,ID1086J,"Global Store acc"
10071,ID1087R,"Oryzae Organic"
10538,ID108L3,"LaCarLa Store"
10980,ID108YP,"CMart Computer"
11064,ID10914,JenniferWallet
11221,ID1095L,NUSATECH
11368,ID1099T,"Natasha Skin Clinic Centre"
11799,ID109M4,"SS Bike Shop"
12198,ID109YI,"Big Sale Kerastase"
13166,ID10AR6,"RAGAMUKTI GREEN"
13860,ID10BB0,"Asus Star Bandung"
14079,ID10BH9,Trivala
14119,ID10BIE,GampangIngatStore
14354,ID10BP4,"Fashion Square"
14514,ID10BUO,"welva store"
15405,ID10CK5,lakumi
17118,ID10DZ3,"Sekar Jagat Bali"
17681,ID10EF6,Tas123
18256,ID10EWL,"Suplemen Fitness ID"
18355,ID10EZF,"chen cell"
18913,ID10FFD,ClickShop
20068,ID10GDD,JC-Cell
20069,ID10GDE,"Mahkota Store"
20143,ID10GFI,"JJ Makmur Elektronik"
20368,ID10GLY,"Jaya Acc Online"
20421,ID10GNG,"Wildi Shop"
20504,ID10GPU,"PDA JAKARTA II"
20516,ID10GR6,"Rajeans by Raffi Ahmad"
20588,ID10GT8,"Chan Gadget"
20697,ID10GWC,"UMMI Store"
20972,ID10H47,Theta
21228,ID10HBI,ruibao
21362,ID10HFC,"GRIYA CETAKAN"
21816,ID10HTB,"Luck Shop"
22339,ID10I89,"MANDIRI CELLULAR"
24067,ID10JMM,JACKY_SHOP
26298,ID10LGD,KARTUPERDANA.
27664,ID10MKE,LabanjaDigital
30675,ID10P1F,"Sun Electric"
30812,ID10P5C,"Cannies Stores ID"
31200,ID10PGF,"RESINDA FASHION STORE"
31258,ID10PI3,ARSYSTORE
31281,ID10PIR,"Jing's Outlet"
32494,ID10RIE,OngisNade
33042,ID10RZ2,"Panda Collection"
33481,ID10SBL,"Twins acc"
33719,ID10SIE,"Toko Wanita"
35465,ID10TYA,"Best seller Shop"
35698,ID10U4Y,"Drone Syma"
36077,ID10UFS,MajuMakmurShop
36545,ID10UU5,Oztokovitamin
36620,ID10UWA,"Raja OB"
36657,ID10UXC,"Edel Weiss Shop"
36883,ID10V3T,"ID ArmyWatch"
37500,ID10VLF,"Kedai Premium Accesories"
37897,ID10VXS,Bearhug
38501,ID10WF1,"Monic Shop"
38626,ID10WIL,"TOKO FANTASY CELL -SHOP"
39878,ID10XJD,Yala
40031,ID10XNR,"ORIGINAL PLUS"
42172,ID10ZEX,"Outlet Online"
43362,ID110DX,"nineteen collection"
43403,ID110F3,Heaven
43721,ID110O6,"Komunika Sell"
43779,ID110PU,"Putra Medica"
43801,ID110RG,"Qlinos Indonesia"
43968,ID110W8,"Funky Cozy"
43997,ID110X2,Nafka_Store
44458,ID111A8,SM_ACC
44597,ID111E7,MiminHerbal
44821,ID111KL,"Lullaby Baby"
45572,ID11272,"gunz collection"
45976,ID112IL,Autoracevariasi
46337,ID112TX,"TukangGiftCard com"
46341,ID112U1,Aintan
46345,ID112U5,"ALIYA ACC - online Store"
47375,ID113NK,"Tatto Fashion"
47406,ID113OG,"Akha Jewelry"
48372,ID114H2,IMPERIUM
48852,ID114VS,BEKASIONLINESHOP
48879,ID114WJ,"Original Shop"
48954,ID114YO,"Tupper Margin"
49137,ID1153X,"Jam tangan Store"
49195,ID1155K,PARIS.
49563,ID115G3,"Cemerlang acc"
50238,ID1160D,underpego
50302,ID11627,"Marlee shop"
50506,ID11681,Eastjava
50595,ID116AK,"Bilis Store"
50597,ID116AM,"Dompet Jaya"
50656,ID116CB,"Asya Home time"
50672,ID116CS,TOP_SOUL
50673,ID116CT,"Sakuralie Sticker Shop"
50844,ID116HO,"vano shop"
50847,ID116HS,"MAN DIEN STORE"
50854,ID116HZ,StarJakarta
50922,ID116JX,dottstore
51443,ID116ZT,"BILY SHOP"
51717,ID1177M,AQYLA
52346,ID117PL,Puriegarden
52856,ID11856,J.COllection16
52935,ID1187F,"Tiens Galeryherbal"
53596,ID118RB,"Moon Walk"
54343,ID119CN,"OSO Shop"
54678,ID119M8,"Pasti Beli!"
54781,ID119P6,"Giorgio Agnelli"
54912,ID119TX,"u7e Collection"
55155,ID11A0V,"Costie Land"
55194,ID11A1Z,Labelle_Design
55336,ID11A61,Airlifeshop
55521,ID11ABB,"Atha Time Shop"
55581,ID11AD1,"palem beauty"
55765,ID11AIA,"VIP ACC"
55801,ID11AJB,Kemura
55811,ID11AJL,"Raja jam asli"
56173,ID11AUY,"Anabelle Shop"
56346,ID11AZW,"TIENS SHOP."
56827,ID11BDM,"GPR Collection"
57016,ID11BJ1,"Benih Dramaga"
57286,ID11BRR,"qusnadi olshop"
57500,ID11BXV,"Daiva Shop"
57789,ID11C64,NORDEN
57963,ID11CB3,bayibanget
58102,ID11CF2,"azirafa shop"
58237,ID11CIX,"Senwell Houseware"
58363,ID11CMI,"Sandria Jakarta"
58665,ID11CW5,"HIRANI COLLECTION"
58764,ID11CYZ,"Fiandra Store"
58843,ID11D18,"Bag Boutique"
58986,ID11D5B,"Kencana Electronic"
59032,ID11D6M,Tanamania
59037,ID11D6S,GudangGrosir
59498,ID11DJY,Galaksi
59573,ID11DM3,YMFood
59946,ID11DXR,"Dua Melati"
60035,ID11E0A,"Bravo Computer"
60243,ID11E68,"RED POMADE"
60409,ID11EAZ,"Jayashree Batik"
60647,ID11EHS,"Bapak Pomade"
60988,ID11ESI,"BIG BOSS STORE"
61070,ID11EUV,"Themangan Acc"
61130,ID11EWK,"TOKO MENTENG"
61217,ID11EZ2,"EL GIBRAN SHOP"
61260,ID11F0A,asemkaonlineshop
61302,ID11F1H,Copio
61330,ID11F2A,fuboshoes
61811,ID11FG1,Mainanalfaqih
61918,ID11FJ3,"PHYSICAL SPORT"
62214,ID11FSJ,"Toserba Shop"
62394,ID11FXO,"Kenko Stationery Com"
62667,ID11G5H,"BEST Accessories"
62858,ID11GAY,"ace fashion"
63347,ID11GOX,Orami
63352,ID11GP2,YNZ
63518,ID11GUT,"forwad shop"
64654,ID11HS9,"Sempurna Jaya 88."
64941,ID11I0G,ETALASETSAQIFA
65599,ID11IJ9,"Hello Kitty Shop Jakarta"
65638,ID11IKD,"BARAYA shop"
65774,ID11IO9,"Mall Elektronik"
65930,ID11ITP,"warung online12_"
66000,ID11IVP,sleepwalkingwh
66678,ID11JF3,"GROSIR SEPATU ANAK & BAYI"
66754,ID11JH9,"Apparel Glory"
67027,ID11JP2,"Kidz World"
67716,ID11K9R,"Grosir Kaos Jaket Celana Kemeja"
68079,ID11KK4,"CENTURY HEALTHCARE"
68369,ID11KTE,"ermon baby and kids"
69589,ID11LT9,"Mekar Wangi Cell"
70016,ID11M5G,SSCorner
70502,ID11MJC,"Lazahra All Shop"
71116,ID11N1W,Solidex_Shop
71220,ID11N4V,EZPATA
72375,ID11O2V,"BEST SOLUTION STORE"
72902,ID11OHX,"Arsy Collections"
72905,ID11OI0,ARKANA_ACC
72943,ID11OJ3,"AmaziQ Shop"
73100,ID11ONK,rinz_collections
73206,ID11ORL,"11 ACC"
73604,ID11P2Z,"TRC Cell"
74160,ID11PIV,UNIVERSAL_FASHION
74485,ID11PT5,"ARCH STORE"
74799,ID11R24,ANUGRAH_MOBILE
74945,ID11R6A,"tictac military"
75066,ID11R9R,"kenzi watch store"
75165,ID11RCK,Batikalhadi
76236,ID11S86,"DCO STORE"
76879,ID11SRJ,"Info Sehat"
77041,ID11SW6,"Razer shop"
77293,ID11T3D,"Mamaizza Kosmetik"
77735,ID11TG0,ditokocom
78076,ID11TPR,"HOB Store"
78585,ID11U5A,evista99
78642,ID11U6X,"Glitzaksesoris new Shop"
78744,ID11U9U,Ar-Rahman
78934,ID11UF9,"Kualitas Keren"
79533,ID11UXD,"BB Mart"
80587,ID11VSH,yurie_olshop
80704,ID11VVU,Atjin
80847,ID11VZX,"Denai store"
81138,ID11W88,"Toko Acep"
81248,ID11WBD,"HANGER AJAIB"
81252,ID11WBH,"MARCO HOME STORE"
81279,ID11WC9,"Pataka Ranah Tuala"
81567,ID11WKH,"STR SHOP"
81673,ID11WNI,oishiishop
81691,ID11WO1,"Shaveera Shop"
82254,ID11X54,"Lucky Cloth"
82376,ID11X8L,PADIE
82496,ID11XC1,k1m1
83171,ID11XWB,tokoherbaltiens
83282,ID11XZH,pancomstories
83618,ID11Y93,"The Blues Store"
84640,ID11Z3A,"CADEL BIKERS SHOP"
85259,ID11ZKZ,city-com
85593,ID11ZVI,"Beauty and Health Shop"
86088,ID1209N,"Mom And Kids"
86921,ID120YG,KokaPlay
87584,ID121HE,"SAROHA colection"
87923,ID121S3,45hop
88141,ID121YB,"MC Pulsa"
88589,ID122B4,"ELHAMRA STORE"
88774,ID122GE,"Syntia EMWE"
89185,ID122T5,"Fashion Week"
89599,ID1234Z,"ALFARIZQY SHOP"
89897,ID123DH,"Arlaine Shop"
89940,ID123EP,Linazz
90118,ID123JT,"Rafflesia outdoor"
90125,ID123K0,"Blanja Murah"
90191,ID123LW,"Pison Store"
91121,ID124DG,"Vei Store"
