id_supplier,short_code,name
945,ID100S0,"HKB Fashion"
969,ID100SO,"DelCell Store"
976,ID100SW,"Unique Cam Store"
1492,ID1017M,"Kokakaa Home"
1520,ID1018F,"Mayonette Store"
1545,ID10195,"Adelaides Homeware"
1751,ID101F1,"BEST CONNECTIONS KITS"
2088,ID101ON,Tomindo
2132,ID101PX,ANGEL
2194,ID101SO,"Sepatu Trendi"
2342,ID101WX,"Toko Accessories"
2343,ID101WY,Klikotomotif
2740,ID1028A,"Kardel Shop"
2917,ID102DC,"Toko David"
2965,ID102EP,"Oscar Living"
3043,ID102GY,"Home - Klik"
3578,ID102X8,"Bag Solution"
3969,ID1038E,"AIUEO Living"
4398,ID103KN,Kreazzi
5056,ID1044G,Cendrawasih
5300,ID104BF,Peonia
5631,ID104KW,Toylogy
5803,ID104PT,j_fashion
6012,ID104WS,"Virgo Shop"
6800,ID105JA,joubeautyshop
7665,ID10690,"City Acc"
8651,ID10726,"lanjar jaya"
9550,ID107SV,SkyroseNet
9878,ID10828,"Unique Bag Store"
12851,ID10AH6,"KR SOLUTION"
13902,ID10BC7,Axxo
14286,ID10BN6,Bosonline
14502,ID10BUC,"Kokakaa Living"
17930,ID10EMA,"hero broadband"
18455,ID10F2A,CelanaDalamPriaID
20042,ID10GCM,DTShop
28986,ID10NN6,annabellashop
32660,ID10RN5,StarHome
32830,ID10RT0,"Jet store"
33607,ID10SF7,"GUDANG TUPPERWARE"
35441,ID10TXL,Harga-Gila
41656,ID10Z06,WATSONS
44361,ID1117G,MI7
44685,ID111GP,"TechLand LTD"
49153,ID1154D,"Shoppaholic Shop"
50126,ID115X6,JCLOTHES
50127,ID115X7,Lbagstore2
50771,ID116FL,DEALKEREN
50871,ID116IG,i-Hape
51412,ID116YX,"JIMS HONEY"
55445,ID11A95,"uniquestore USB"
57047,ID11BJX,CharleneFashion
58126,ID11CFR,"Levi's Strauss ( Anoma )"
58577,ID11CTM,Grosirstation
58673,ID11CWD,"laura toko"
60589,ID11EG4,Grateful
60611,ID11EGR,369shop
61686,ID11FCG,"Watch Mart"
66948,ID11JMT,"AIUEO FASHION"
70930,ID11MWK,BKMART
71915,ID11NOP,"My Baby Store"
