id_campaign_tracker,fk_campaign,bob_id_supplier,short_code,seller_name,start_date,end_date,active
NULL,2,773,ID100M3,DTC Datacomindo,6/1/2016 0:00,3/31/2017 0:00,1
NULL,2,812,ID100N7,DBest Compushop,6/1/2016 0:00,,1
NULL,2,815,ID100NA,Kamerakamera,5/1/2016 0:00,,1
NULL,2,907,ID100PX,VONA,5/1/2016 0:00,,1
NULL,2,916,ID100R6,Perfect Beauty,6/1/2016 0:00,,1
NULL,2,945,ID100S0,HKB Fashion,5/1/2016 0:00,,1
NULL,2,949,ID100S4,Watch Market,5/1/2016 0:00,8/13/2017 23:59,1
NULL,2,950,ID100S5,Home Retail Shop,6/1/2016 0:00,8/13/2017 23:59,1
NULL,2,959,ID100SE,Sugu Market,11/1/2016 0:00,1/31/2017 23:59,1
NULL,2,969,ID100SO,DelCell Store,5/1/2016 0:00,,1
NULL,2,976,ID100SW,Toko USB,5/1/2016 0:00,2/28/2017 23:59,1
NULL,2,978,ID100SY,Jam Originalku,6/1/2016 0:00,11/30/2016 23:59,1
NULL,2,1045,ID100UV,Funika,6/1/2016 0:00,11/30/2016 23:59,1
NULL,2,1049,ID100UZ,Fonel,6/1/2016 0:00,12/31/2016 23:59,1
NULL,2,1075,ID100VP,My Gadget Needs,9/1/2016 0:00,11/30/2016 23:59,1
NULL,2,1099,ID100WE,Max Toko Promotion,5/1/2016 0:00,,1
NULL,2,1122,ID100X2,Razer Store,6/1/2016 0:00,11/30/2016 23:59,1
NULL,2,1128,ID100X8,Primary Original,6/1/2016 0:00,1/31/2017 23:59,1
NULL,2,1186,ID100YW,Viva Tehnik Mandiri,6/1/2016 0:00,2/28/2017 23:59,1
NULL,2,1262,ID10112,Kogara Elektronik,6/1/2016 0:00,6/30/2016 23:59,1
NULL,2,1268,ID10118,Good Spot,9/1/2016 0:00,,1
NULL,2,1273,ID1011D,Kenkez,5/1/2016 0:00,2/28/2017 23:59,1
NULL,2,1287,ID1011S,Paling Laku,5/1/2016 0:00,,1
NULL,2,1289,ID1011U,utamamega,11/1/2016 0:00,5/31/2017 0:00,1
NULL,2,1294,ID1011Z,Matahari Foto,5/1/2016 0:00,8/13/2017 23:59,1
NULL,2,1375,ID1014A,Babyzania.com,6/1/2016 0:00,,1
NULL,2,1395,ID1014V,Whiz Market,8/1/2016 0:00,12/31/2016 23:59,1
