id_transaction_type,description,type,fk_fee_type,ref_source,fee_process_type
1,"Selling Fee",debit,NULL,NULL,Manual
2,"Selling Fee Credit",credit,NULL,NULL,Manual
3,"Payment Fee",debit,2,sales_order_item,Automatic
4,"Payment Fee Credit",credit,105,sales_order_item,Automatic
5,"Shop Fee",debit,NULL,NULL,Manual
6,"Shop Fee Credit",credit,NULL,NULL,Manual
7,"Shipping Fee (Charged by Lazada)",debit,17,sales_order_item,Manual
8,"Shipping Fee (Paid By Customer)",credit,81,sales_order_item,Automatic
9,"Storage Fee",debit,6,catalog_product,Manual
10,"Storage Fee Credit",credit,NULL,catalog_product,Manual
11,"Ad-Hoc Fee",debit,NULL,NULL,Manual
12,"Ad-Hoc Credit",credit,NULL,NULL,Manual
13,"Item Price Credit",credit,NULL,sales_order_item,Automatic
14,"Reversal Item Price",debit,NULL,sales_order_item,Automatic
15,"Reversal Commission",credit,NULL,sales_order_item,Automatic
16,Commission,debit,NULL,sales_order_item,Automatic
17,"Monthly Subscription",debit,9,NULL,Manual
18,"Handling Fee",debit,5,sales_order,Manual
19,"Seller Credit",credit,23,NULL,Manual
20,"Other Fee",debit,22,NULL,Manual
21,"Shipping Fee (Charged By 3P)",debit,90,sales_order_item,Manual
22,"Fulfillment by Lazada Handling Fee - Automatic",debit,11,sales_order_item,Automatic
23,"Cancellation Fee",debit,18,sales_order_item,Manual
24,"Return Delivery Fee",debit,19,sales_order_item,Manual
25,"Returned QC Fee",debit,20,sales_order_item,Manual
26,"Return To Seller Fee",debit,21,seller,Manual
27,"Dropshipping Delivery Fee",debit,13,sales_order,Manual
28,"Automatic Shipping Fee",debit,14,sales_order_item,Automatic
29,"Refund Fee",debit,3,sales_order_item,Manual
33,"Shipping Service Cost",debit,NULL,sales_order_item,Manual
34,"Pick Fee",debit,15,sales_order_item,Manual
35,"Pack Fee",debit,16,sales_order_item,Manual
36,"Seller Credit Item",credit,23,sales_order_item,Manual
37,"Seller Debit Item",debit,22,sales_order_item,Manual
41,"Consignment Weight Fee",debit,25,sales_order_item,Manual
42,"Customer Item Shipping Fee",debit,NULL,sales_order_item,Manual
43,"Customer Item Shipping Fee Credit",credit,NULL,sales_order_item,Manual
44,Subsidy,debit,NULL,sales_order_item,Manual
45,"Subsidy Refund",credit,NULL,sales_order_item,Manual
46,"Dropshipping Item Delivery Fee",debit,NULL,sales_order_item,Manual
47,"Lost Or Damaged - Product",credit,NULL,catalog_product,Manual
48,"Lost Or Damaged - Sales Order Item",credit,NULL,sales_order_item,Manual
49,"Shipping Fee (Order Level)",debit,NULL,sales_order,Manual
50,"Consignment Delivery Fee",debit,NULL,sales_order_item,Manual
51,"Consignment Delivery Fee Credit",credit,NULL,sales_order_item,Manual
52,"Pack Fee Credit",credit,NULL,sales_order_item,Manual
53,"Pick Fee Credit",credit,NULL,sales_order_item,Manual
54,Penalty,debit,NULL,seller,Manual
55,"Penalty Credit",credit,NULL,seller,Manual
56,"Studio Fee",debit,NULL,seller,Manual
57,"Studio Fee Credit",credit,NULL,seller,Manual
58,"Monthly Subscription Credit",credit,NULL,seller,Manual
59,"Item Price Subsidy",credit,76,sales_order_item,Manual
60,"Penalty & Payment Claims",credit,77,sales_order_item,Manual
61,"Adjustments Claims",debit,78,sales_order_item,Manual
62,"Adjustments Item Charge",debit,79,sales_order_item,Manual
63,"Other Credit - Taxable",debit,80,sales_order_item,Manual
64,"Other Credit - Non Taxable",credit,82,sales_order_item,Manual
65,"Commission Rebate",credit,29,sales_order_item,Manual
66,"Adjustments Commission",credit,27,sales_order_item,Manual
67,"Adjustments Payment Fee",credit,28,sales_order_item,Manual
68,"Re-Selling Of Goods Purchased From Lazada",debit,30,sales_order_item,Manual
69,"Seller Contacts Customer For No-Verification",debit,31,seller,Manual
70,"Seller Own Fleet Order Cancelled Without Delivery Attempt",debit,32,sales_order_item,Manual
