lvl0_id,lvl0,lvl1_id,lvl1,lvl2_id,lvl2,lvl3_id,lvl3,lvl4_id,lvl4,lvl5_id,lvl5,lvl6_id,lvl6,cc0_id,cc0_name
1,"Root Category",,,,,,,,,,,,,1,"Root Category"
1,"Root Category",2,"Sports & Automotives",,,,,,,,,,,2,"Sports & Automotives"
1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",3,Boating,,,,,3,Boating
1,"Root Category",2991,Trash,4,"Perlengkapan Perahu",,,,,,,,,4,"Perlengkapan Perahu"
1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",3,Boating,5,Sampan,,,5,Sampan
1,"Root Category",2994,"Sports & Outdoors",5249,"Outdoor Recreation",35,"Water Sports",3,Boating,6,"Inflatable Boats",,,6,"Inflatable Boats"
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",,,,,,,,,7,"Fitness Equiment"
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",8,"Lakban Olahraga",,,,,,,8,"Lakban Olahraga"
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",9,"Sweat & Wrist Band",,,,,,,9,"Sweat & Wrist Band"
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",10,"Handuk Olahraga",,,,,,,10,"Handuk Olahraga"
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",11,"Botol Minum",,,,,,,11,"Botol Minum"
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",12,Kacamata,,,,,,,12,Kacamata
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",13,"Monitor Pengukur Jantung",,,,,,,13,"Monitor Pengukur Jantung"
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",14,"Jam Tangan Olahraga",,,,,,,14,"Jam Tangan Olahraga"
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",15,Penguat,,,,,,,15,Penguat
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",15,Penguat,16,"Multi Station",,,,,16,"Multi Station"
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",15,Penguat,17,Bangku,,,,,17,Bangku
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",15,Penguat,18,Pemberat,,,,,18,Pemberat
1,"Root Category",2994,"Sports & Outdoors",7,"Fitness Equiment",19,Kardio,,,,,,,19,Kardio
